sequence,Gephi,KMeans_15D,KMeans_2D
18|9,15,3,8
18|36.18.37.29,0,4,13
36|16,11,4,13
37|18.37.23,4,4,6
18|36.23,0,4,6
18|36.14,0,5,10
10|2,9,5,3
25|15,7,2,1
17|24,5,9,0
37|28,11,7,5
32|31.18,5,9,0
2|24,2,5,3
16|26.24.18,10,4,6
37|2,2,0,3
24|22,9,3,8
18|36.10,0,5,3
36|18.37.29,0,6,13
20|18.37,13,1,7
18|36.16,11,4,13
18|36.6.18,6,14,2
18|37.18,15,3,15
13|8,11,3,14
6|,6,3,15
24|3,1,5,10
18|36.3,0,5,10
18|36.7,0,2,1
23|16,10,4,6
18|37.26,10,4,6
30|,12,3,15
5|,1,5,10
5|18.37.18.37.18.37,1,15,10
20|,13,1,7
31|36.17,5,9,0
15|,7,2,1
6|24.18.37.18,6,14,2
25|18.37,7,2,1
24|6,6,14,2
18|37.9,3,3,8
18|37.12,11,7,5
33|,14,10,15
2|10.18,2,5,3
18|37.22,3,3,8
5|18.37.18.36,1,5,10
36|16.26.24,10,4,6
30|24,12,8,9
5|10,0,5,10
36|6.24,6,14,2
36|25.15,7,2,1
18|37.11,13,1,7
37|4,14,10,4
7|37,7,2,1
16|23,10,4,6
37|8,12,8,9
17|31,5,9,0
10|18,2,5,3
37|18.37.18.37.34,4,14,2
20|11.0.24,13,1,7
31|18,5,9,0
16|18,10,4,6
18|37.30,12,8,14
18|37.10,2,12,14
18|29,15,4,13
37|10,2,0,1
18|37.18.14,11,13,10
27|24,8,7,5
18|37.0,13,1,7
6|36,6,14,2
36|9,3,3,8
0|,13,1,7
3|5,1,5,10
19|24,4,2,12
30|18,15,8,9
37|18.36.16,11,4,13
26|24.18,10,4,6
34|24,6,14,2
18|37.18.36.16,11,4,13
11|0.24,13,1,7
12|27,11,7,5
0|18.37.32,13,9,7
9|36,3,15,8
36|24,9,5,3
37|28.27,8,7,5
22|9.18.36,3,3,8
24|18.14,9,5,10
36|2.18.37,2,5,3
23|26.16,10,4,6
18|3.5,15,5,10
36|34,0,14,2
37|30,12,12,14
37|25,11,2,1
18|32,13,1,7
37|18.37.22,3,3,8
24|30.18,9,8,9
8|30,12,8,9
25|,7,2,1
37|13,11,8,14
18|37.27,11,7,5
37|15,7,2,1
36|4,14,10,4
21|33,6,10,4
18|36.24,9,5,3
18|22,15,3,8
36|6,6,14,2
32|17.18,5,15,0
37|22,3,3,8
18|37.4,14,10,4
26|23.24,10,6,11
16|26.24,10,4,6
37|18.37.26,4,4,6
36|23.24,10,6,11
36|,5,3,15
33|21.18,14,10,4
37|18.37.18.37,4,3,15
18|37.18.37.18.37,4,3,15
37|24.22,9,3,8
37|34,6,14,2
36|23,10,4,6
18|37.5,1,12,14
36|8,0,8,9
29|36.18,0,4,13
36|29,0,8,13
18|36.26,0,4,6
6|14,6,14,2
34|,6,14,2
27|28,11,7,5
37|11,13,15,7
24|30,9,8,9
10|5,2,5,3
18|14,2,5,10
8|13.36.30,12,8,9
18|0,15,3,15
18|2.18.37,9,5,3
18|30.8,15,8,9
27|12,8,7,5
3|18.37.18.37,9,5,10
18|37.3,1,5,10
18|30,15,8,9
9|18.37.29,3,3,8
5|14,1,5,10
21|36.4,14,10,4
28|27.36,8,7,5
36|19,0,11,9
11|36,13,1,7
12|28,8,7,5
36|30,12,8,9
27|,8,7,5
37|19,4,2,12
17|18.36,5,9,0
5|18.14,1,5,10
3|18,1,5,10
18|36.2,2,5,3
36|18.37.19,0,2,12
14|18.37.24,2,5,10
4|,14,3,15
37|18.37.19,4,2,12
36|33,0,10,4
30|18.36,12,8,14
18|5,15,5,14
36|7,0,2,1
18|37.29,0,4,13
14|24,2,5,10
28|27.12.24,8,7,5
16|36,10,4,13
16|,10,3,15
24|18,9,5,15
18|37.8,12,12,9
18|36,5,9,0
21|18,6,10,4
21|4,14,15,4
36|27,11,7,5
18|36.8,0,8,9
23|36,10,4,6
37|18.37.32,13,9,0
6|18.37.24,6,14,2
4|36,14,10,4
37|18.37.33,4,10,4
2|18,2,5,3
36|31,5,9,0
33|36.4,14,10,4
18|36.18.37.18,0,3,15
7|,7,2,1
