26 => 16 295
26 => 23 56
17 31 => 36 41
17 31 => 32 164
17 31 => 37 20
32 36 => 18 58
30 24 => 36 19
30 24 => 18 10
30 24 => 37 33
18 3 5 => 24 14
13 36 => 8 16
13 36 => 18 11
24 17 => 36 15
24 17 => 31 41
0 36 => 18 16
0 36 => 11 32
14 6 => 34 12
23 => 24 15
23 => 26 184
23 => 37 162
23 => 36 144
23 => 18 42
23 => 16 75
24 26 => 16 38
27 28 => 36 49
27 28 => 24 42
27 28 => 18 38
27 28 => 37 168
34 36 18 => 37 54
28 27 => 37 13
21 36 4 36 => 33 11
7 37 18 37 18 => 37 72
7 37 18 37 18 => 19 27
4 36 => 18 39
4 36 => 33 38
4 36 => 21 33
24 37 => 18 1117
36 13 => 8 53
36 13 => 37 14
24 30 36 => 13 13
25 => 36 38
25 => 7 173
25 => 18 15
25 => 37 49
25 => 15 30
24 27 => 28 13
24 10 => 2 12
24 10 => 36 16
24 10 => 37 17
36 27 28 => 37 24
27 => 28 301
27 => 24 14
27 => 37 79
27 => 12 42
27 => 36 65
27 => 18 23
19 37 18 37 => 18 375
18 12 28 => 27 10
37 18 37 18 24 => 21 31
37 18 37 18 24 => 36 119
37 18 37 18 24 => 34 14
37 18 37 18 24 => 17 41
37 18 37 18 24 => 23 24
37 18 37 18 24 => 16 15
37 18 37 18 24 => 30 56
37 18 37 18 24 => 2 19
37 18 37 18 24 => 14 10
37 18 37 18 24 => 9 34
37 18 37 18 24 => 12 35
37 18 37 18 24 => 37 222
37 18 37 18 24 => 4 28
37 18 37 18 24 => 22 20
37 18 37 18 24 => 0 26
37 18 37 18 24 => 15 19
37 18 37 18 24 => 13 20
37 18 37 18 24 => 6 33
37 18 37 18 24 => 19 10
37 18 37 18 24 => 10 13
37 18 37 18 24 => 18 102
37 18 37 18 24 => 26 28
10 => 24 87
10 => 5 51
10 => 37 168
10 => 21 13
10 => 2 69
10 => 36 114
10 => 18 68
14 18 3 => 24 11
14 18 3 => 37 15
33 37 18 => 36 14
33 37 18 => 24 16
33 37 18 => 29 10
33 37 18 => 37 158
33 37 18 => 23 22
7 25 => 15 11
30 13 8 => 36 14
30 13 8 => 18 10
30 13 8 => 37 38
16 37 18 37 18 37 => 18 73
18 36 => 21 25
18 36 => 34 20
18 36 => 17 16
18 36 => 23 29
18 36 => 3 16
18 36 => 4 30
18 36 => 29 22
18 36 => 5 40
18 36 => 9 25
18 36 => 12 16
18 36 => 2 32
18 36 => 22 13
18 36 => 0 24
18 36 => 15 11
18 36 => 13 19
18 36 => 24 41
18 36 => 6 24
18 36 => 19 20
18 36 => 10 22
18 36 => 20 11
18 36 => 18 3225
18 36 => 26 26
37 18 13 8 => 30 103
37 18 13 8 => 37 13
37 18 13 8 => 36 10
22 24 18 => 37 14
0 37 => 18 69
11 18 => 37 15
22 37 18 37 => 18 149
18 24 26 16 => 23 14
23 26 => 16 165
18 36 9 => 22 11
5 36 18 => 36 12
5 36 18 => 37 43
24 36 18 => 2 14
24 36 18 => 36 53
24 36 18 => 24 14
24 36 18 => 37 190
21 33 => 36 31
21 33 => 24 31
21 33 => 18 27
21 33 => 37 102
21 36 33 => 37 31
18 37 18 24 6 => 34 20
37 18 27 => 12 14
5 24 => 36 15
5 24 => 37 30
5 37 18 => 14 11
5 37 18 => 36 20
5 37 18 => 24 12
5 37 18 => 37 92
26 37 18 37 18 => 29 11
26 37 18 37 18 => 37 42
32 37 18 0 => 11 29
31 37 18 37 18 => 0 10
31 37 18 37 18 => 37 30
10 37 18 => 2 10
10 37 18 => 36 20
10 37 18 => 24 14
10 37 18 => 37 90
29 36 => 10 15
29 36 => 18 204
29 36 => 5 13
29 36 => 21 11
18 26 16 => 23 18
18 26 16 => 37 14
5 3 18 => 37 11
4 36 33 => 36 10
4 36 33 => 37 10
4 36 33 => 21 11
36 0 => 11 29
36 0 => 37 12
37 18 25 => 7 12
18 30 => 13 44
18 30 => 24 28
18 30 => 37 52
18 30 => 36 52
18 30 => 8 10
18 30 => 18 34
16 37 18 37 18 37 18 => 29 19
16 37 18 37 18 37 18 => 37 41
28 36 => 18 58
2 37 => 18 197
22 36 18 => 37 60
16 36 18 37 18 => 29 12
16 36 18 37 18 => 37 22
29 => 24 18
29 => 26 12
29 => 37 615
29 => 10 12
29 => 36 294
29 => 19 13
29 => 18 121
29 => 23 24
29 => 5 13
12 27 => 28 231
12 27 => 36 32
12 27 => 18 10
12 27 => 37 29
22 24 => 36 24
22 24 => 18 19
22 24 => 37 52
18 2 10 => 36 22
18 2 10 => 24 49
18 2 10 => 18 19
18 2 10 => 37 41
20 => 24 47
20 => 37 163
20 => 36 79
20 => 18 46
20 => 0 25
20 => 11 22
29 18 => 36 19
29 18 => 37 58
2 36 18 => 10 13
2 36 18 => 36 11
2 36 18 => 37 37
27 28 37 18 37 18 => 17 13
27 28 37 18 37 18 => 37 77
17 => 24 19
17 => 32 76
17 => 37 70
17 => 36 65
17 => 31 229
17 => 18 35
18 21 => 36 79
18 21 => 18 27
18 21 => 33 22
18 21 => 37 63
18 21 => 4 34
24 26 16 36 => 23 10
15 25 => 36 16
15 25 => 7 133
15 25 => 37 11
24 21 => 36 29
18 36 18 => 16 10
18 36 18 => 10 40
18 36 18 => 21 29
18 36 18 => 36 533
18 36 18 => 34 21
18 36 18 => 17 37
18 36 18 => 23 45
18 36 18 => 0 26
18 36 18 => 4 29
18 36 18 => 29 129
18 36 18 => 5 34
18 36 18 => 14 49
18 36 18 => 9 60
18 36 18 => 12 36
18 36 18 => 37 1583
18 36 18 => 30 19
18 36 18 => 22 22
18 36 18 => 3 15
18 36 18 => 15 13
18 36 18 => 13 15
18 36 18 => 24 154
18 36 18 => 6 43
18 36 18 => 19 113
18 36 18 => 2 57
18 36 18 => 26 20
18 36 18 => 20 11
24 15 => 25 25
14 18 24 => 37 10
24 17 31 32 => 37 16
24 23 => 36 13
24 23 => 26 17
23 37 => 18 161
30 36 13 8 => 37 19
18 36 29 => 37 13
32 18 37 18 => 0 10
24 19 => 37 11
36 18 0 => 11 30
36 24 => 36 25
36 24 => 18 20
36 24 => 37 89
24 9 => 36 11
24 9 => 22 50
23 16 26 => 37 16
