source,target,value
18|36.18.37.18,4|18.36,14
18|36.18.37.18,22|18,14
18|36.18.37.18,23|18.36.18,22
18|36.18.37.18,17|18.36,22
18|36.18.37.18,29|,71
18|36.18.37.18,24|18.36,98
18|36.18.37.18,37|18.36,826
18|36.18.37.18,14|18.36,28
18|36.18.37.18,6|18.36,28
18|36.18.37.18,5|18.36.18,15
18|36.18.37.18,19|,71
18|36.18.37.18,13|18.36,10
18|36.18.37.18,0|18.36,14
18|36.18.37.18,36|18,238
18|36.18.37.18,26|18,10
18|36.18.37.18,9|18.36,37
18|36.18.37.18,10|18.36.18,18
18|36.18.37.18,2|18.36.18.37.18,13
18|36.18.37.18,12|18.36,24
4|36.21,36|4.36.21,11
4|36.21,33|4.36,20
18|33,37|18,40
37|18.32,18|37.18.32,10
26|16.23,37|26,16
18|37.12,37|18.37,27
16|23,37|16,13
16|23,36|16,16
16|23,26|16.23,16
18|36.6.18,34|,12
2|24,36|2,16
2|24,37|2,23
36|6,34|36,78
36|6,18|36,59
36|2.18.37,10|36.2,12
4|36,37|4,18
4|36,33|4.36,13
4|36,36|4,35
4|36,21|4,16
37|29,18|37.29,13
5|3.18,24|5,14
