sequence,Gephi,KMeans_15D,KMeans_2D
22|24,3,1,0
27|12.24,8,1,3
18|36.21,6,3,1
26|16,10,2,2
18|36.34,0,3,1
13|36,12,3,1
6|18.14,6,1,3
37|18.37.33,4,0,0
6|34,6,3,0
36|19,0,1,0
10|24,2,1,0
17|,5,0,0
37|,6,2,2
26|16.23,10,3,1
10|5,2,1,3
36|26,10,3,1
36|6.34,5,3,3
25|,7,3,1
21|36.4,14,3,0
36|18.37.29,0,3,3
37|33,14,1,0
37|28.27,8,0,0
36|16.26.24,10,3,1
24|36,9,1,0
37|18.37.18.37.2,2,1,3
37|18.37.30,12,3,3
16|23.18,10,3,1
8|30,12,3,1
28|27.36,8,3,3
36|34,0,3,1
18|37.34,6,1,3
18|30,15,3,0
34|36,6,0,0
37|4,14,3,1
5|14,1,3,1
20|,13,2,2
18|37.18.36.16,11,2,2
37|3,1,2,2
4|18,14,3,3
37|18.36.16,11,1,3
0|20,13,1,3
9|36,3,1,3
37|18.37.34,6,3,1
18|36.33,0,1,1
13|8,11,2,2
8|13.18.37,12,3,1
18|10.2.18,9,1,3
37|18.37.16,10,2,2
36|30.8,12,1,0
24|10,9,3,3
18|20,15,3,1
36|0,13,1,3
24|18,9,3,1
37|18.37.19,4,2,1
32|31.18,5,3,1
21|,6,3,3
30|36,12,2,2
18|36.28,0,2,2
30|8,12,1,3
5|,1,1,3
18|36.3,0,1,3
18|37.18.37.7,4,2,2
6|24.18.37.18,6,3,1
18|37.0,13,3,1
36|21.4,14,2,2
37|19,4,1,0
37|5,1,3,3
18|16,15,3,3
24|5,9,1,0
18|37.17,5,0,0
18|37.18.37.18.37.32,13,1,3
36|31,5,1,3
36|2,2,3,3
6|36,6,2,2
37|17,5,3,1
37|29,0,2,2
18|36.18,0,1,3
37|18.37.18.37.16,4,1,3
18|37.4,14,3,1
36|10,0,0,0
4|36.21,14,3,1
23|18,10,3,1
9|18.37.29,3,1,3
26|24,10,1,3
8|13.18.30,12,3,1
28|18.37.18,11,1,3
2|36,2,2,2
23|18.37.33,10,3,1
18|37.18,15,0,0
8|13.36.30,12,2,2
36|25.15,7,0,0
37|26,10,3,1
4|21,14,2,2
18|26,15,1,3
3|18.37.18.37,9,3,1
37|15,7,1,3
5|18.37.18.36,1,3,0
29|,0,3,1
11|0.24,13,2,2
16|36,10,1,3
18|37.30,12,3,1
24|28,9,1,0
26|18,10,3,3
15|,7,1,3
27|12.18.37,8,3,3
26|36.23,10,3,1
24|30.18,9,2,2
24|7,9,3,1
24|2,9,3,1
2|18.36.18.37.18,2,1,0
29|36.18,0,3,3
18|30.8,15,1,3
2|10.18,2,1,3
18|37.5,1,0,0
26|36,10,3,1
23|29,10,1,0
27|18.37,11,1,0
36|20,0,1,0
18|22,15,1,3
19|24,4,1,3
5|24,1,3,1
37|9,3,1,3
26|36.18,10,1,0
18|37.18.37.23,4,1,3
24|34,9,1,3
18|37.28.27,8,1,0
37|18.37.32,13,2,2
17|36,5,3,1
37|18.37.23,4,1,3
36|21,6,2,2
0|,13,1,0
4|18.36,14,2,2
17|18.37.24,5,1,3
18|37.18.37.18.37,4,3,1
13|18.37,12,3,1
28|27,8,2,2
21|18,6,3,1
36|16,11,2,2
8|18,11,3,1
28|,11,2,2
33|21.18,14,2,2
18|36.11,0,0,0
24|32,9,3,3
18|37.18.37.18.37.16,4,2,2
18|33,15,2,3
18|37.19,4,1,3
18|32,13,3,1
11|18.37.18,13,3,1
18|37.31,5,3,0
21|33,6,1,0
24|3,1,1,3
12|18,8,0,0
5|18.36.18,1,1,3
36|28,0,3,1
0|36,13,2,2
16|26,10,0,0
30|,12,1,3
18|37.18.37.20,4,2,2
18|5,15,1,3
33|36.21,14,2,2
18|37.32,5,2,2
36|27.12,11,2,2
18|36.16,11,1,3
37|18.37.18.37,4,1,0
18|37.24,9,1,3
18|2,2,3,0
22|18,3,3,1
18|36.18.37.19,0,1,3
23|,10,1,3
11|0.36,13,0,0
36|12,8,1,0
18|36.5,0,3,1
24|18.2,9,3,1
0|24,13,3,1
9|22,3,3,1
22|9.36,3,3,1
30|13,12,3,0
18|37.18.37.2,2,1,3
36|6.18,6,3,1
18|37.18.37.34,6,1,0
2|18.37,2,1,0
37|18.37.22,3,2,2
16|23,10,3,1
36|11,13,0,0
36|33,0,1,0
25|7,7,1,3
26|,10,1,3
8|13.24,12,3,1
18|36.26,0,2,2
37|13,11,1,3
5|36.18,1,3,0
18|37.7,7,1,3
37|10,2,3,0
18|37.18.14,11,2,2
14|24,2,2,2
15|36,7,3,1
37|20,13,1,0
5|18.14,1,1,3
37|32,5,1,3
18|4,6,3,1
22|9.18.36,3,3,1
18|36.23,0,1,3
3|5,1,3,1
36|15,7,3,1
16|18.36,10,1,3
25|18.37,7,2,2
16|18,10,3,0
18|37.20,13,3,1
6|24,6,2,2
26|16.18,10,1,3
37|18.37.2,2,3,1
18|36.20,0,1,0
24|18.37.24,9,3,1
24|18.37.18.37.24,9,3,0
20|11.0.24,13,2,2
13|18.36,12,3,0
12|27,11,0,0
10|36.2,2,3,1
8|36,12,1,3
31|17.24,5,3,1
2|36.24,2,3,1
10|2,9,1,3
18|37.18.37.16,10,3,1
24|30,9,2,2
30|24,12,2,2
18|37.18.37.28.27,8,3,0
9|36.18,3,0,0
12|18.36,8,3,1
13|,12,3,0
20|18.37,13,3,1
3|36,1,1,3
37|23,10,2,2
36|18.37.18,0,2,2
7|37,7,3,1
33|4.36,14,2,2
36|6,6,2,2
0|18.36,13,1,3
12|,8,1,3
2|24,2,1,0
13|30,12,1,0
18|37.24.22,9,2,2
31|32,5,1,3
0|18.37.32,13,1,0
22|,3,1,3
19|,4,2,2
8|13.30,12,3,1
6|18,6,1,3
36|2.18.37,2,2,2
36|18,0,0,0
6|18.37.24,6,1,0
18|37.2,2,0,0
18|9,15,1,3
18|37.12,11,3,2
18|37.10,2,1,0
31|,5,3,3
34|24,6,3,2
18|37.18.37.30,12,0,0
37|18.37.24,9,3,1
36|18.37.19,0,0,0
27|36,8,1,3
18|36.9,0,1,3
36|5,0,1,0
18|37.13,11,3,0
18|36.30,12,1,1
18|37.18.37.18.37.2,2,0,0
12|24,8,2,2
28|36,11,0,0
18|,9,1,0
33|36.4,14,1,3
30|18,15,3,1
0|11,13,1,0
10|18,2,3,1
7|36,7,0,0
18|36.8,0,3,3
18|7,15,2,2
17|18,5,0,0
37|18.37,11,3,3
18|37.16,10,1,0
36|5.18.14,1,3,1
7|18,7,2,2
37|28,11,0,0
18|24.18.37.18.37,15,3,3
27|,8,3,3
18|36.18.37.18,0,2,2
18|37.18.37.33,4,1,3
18|36.7,0,0,0
7|15,7,0,0
18|36.6.18,6,2,1
32|,5,0,0
37|24.22,9,2,1
34|6.36,6,1,0
6|18.36,6,1,0
37|18.37.18.37.34,4,3,1
18|8,15,3,2
18|37.29,0,3,1
4|18.37.18.37.34,14,0,0
36|23,10,3,2
18|37.18.37.18.37.34,4,3,1
18|37.18.37,11,1,0
32|17.18,5,1,0
28|27.12.24,8,1,3
24|22,9,0,0
16|24,10,1,3
18|36,5,0,0
18|36.22,0,1,3
32|18,5,3,1
18|34,15,0,0
26|23.24,10,0,0
5|10,0,0,0
15|24,7,2,2
18|37,6,2,2
33|,14,0,0
18|36.32,0,3,1
22|9.24,3,3,1
14|18.37.24,2,1,0
36|9.22,0,0,0
37|24,9,3,2
31|36.17,5,0,0
10|2.18,2,0,0
4|36,14,3,1
17|24,5,1,0
37|18.36,0,3,3
32|31.17.24,5,3,0
31|17,5,2,2
24|16,9,0,0
18|37.15,7,1,3
36|23.36,0,1,1
37|18.37.20,4,3,1
18|3.5,15,1,0
36|32,0,2,1
12|18.37,8,0,0
37|18.14,11,2,2
18|37.23,10,1,3
18|36.19,0,2,2
18|37.26,10,0,0
37|0,13,0,0
37|7,7,3,3
33|4.18,6,0,0
18|37.22,3,3,3
18|36.29,0,0,0
2|,2,3,1
36|29,0,0,0
18|14.18.36,11,0,0
36|31.17,5,2,1
30|8.13.24,12,1,0
2|18.37.18.37.18.37,2,0,0
24|18.37.18.37,9,0,0
18|36.2,2,0,0
17|18.36,5,1,3
31|18,5,0,0
18|12,8,0,0
36|3,0,2,1
