sequence,Gephi,KMeans_15D,KMeans_2D
36|3,0,11,1
24|28,9,2,3
37|18.37,11,8,13
18|9,15,15,14
18|36.18.37.29,0,14,13
36|16,11,14,14
37|18.37.23,4,14,0
18|36.23,0,14,0
18|37.9,3,15,14
18|36.14,0,11,1
10|2,9,8,12
25|15,7,0,11
17|24,5,4,4
32|31.18,5,4,4
2|24,2,1,12
16|26.24.18,10,14,0
37|2,2,1,12
24|22,9,15,14
18|36.10,0,8,12
36|18.37.29,0,14,13
20|18.37,13,9,9
18|36.16,11,14,14
18|36.6.18,6,7,8
18|37.18,15,14,13
13|8,11,8,5
6|,6,8,7
24|3,1,11,1
18|37.0,13,9,9
18|36.7,0,0,11
23|16,10,14,0
18|37.26,10,14,0
30|,12,8,7
5|,1,11,1
5|18.37.18.37.18.37,1,11,1
20|,13,9,9
31|36.17,5,4,4
15|,7,0,11
6|24.18.37.18,6,7,8
37|18.37.18.37.32,13,4,4
24|6,6,7,8
26|23.24,10,8,10
18|37.12,11,2,3
33|,14,8,6
2|10.18,2,1,12
18|37.22,3,15,14
5|18.37.18.36,1,11,1
36|16.26.24,10,14,0
30|24,12,3,5
36|6.24,6,7,8
36|25.15,7,0,11
18|37.11,13,9,9
37|4,14,6,6
7|37,7,0,11
24|34,9,7,8
37|8,12,6,5
17|31,5,4,4
10|18,2,8,12
37|20,13,9,9
20|11.0.24,13,0,9
12|,8,8,7
16|18,10,14,0
18|37.30,12,3,15
18|37.10,2,12,7
18|29,15,14,13
37|10,2,13,5
18|37.18.14,11,5,7
27|24,8,8,3
18|36.3,0,11,1
24|16,9,8,13
6|36,6,7,8
36|9,3,15,14
37|19,4,0,2
3|5,1,11,1
30|18,15,3,5
37|18.36.16,11,14,14
26|24.18,10,14,0
34|24,6,7,8
18|37.18.36.16,11,14,14
11|0.24,13,0,9
12|27,11,2,3
18|37.24.22,9,8,14
16|23.18,10,14,0
9|36,3,15,7
36|24,9,8,1
37|28.27,8,2,3
22|9.18.36,3,15,14
24|18.14,9,11,1
36|2.18.37,2,8,12
23|26.16,10,14,0
16|26.23.24,10,8,10
36|34,0,7,8
37|30,12,3,15
37|25,11,0,11
13|18.36,12,3,5
37|18.37.22,3,15,14
24|30.18,9,3,12
8|30,12,3,5
37|13,11,3,5
18|37.27,11,2,3
37|15,7,0,11
36|4,14,6,6
21|33,6,10,6
16|36,10,14,0
18|22,15,15,14
36|6,6,7,8
32|17.18,5,4,4
37|22,3,15,14
0|24,13,0,9
16|26.24,10,14,0
26|,10,14,13
36|23.24,10,8,10
36|,5,8,7
18|19,15,0,2
37|18.37.18.37,4,8,7
18|37.18.37.18.37,4,8,7
37|24.22,9,8,14
37|28,11,2,3
18|37.18.37.7,4,0,11
18|37.5,1,10,6
36|8,0,3,5
29|36.18,0,14,13
36|29,0,12,7
18|36.26,0,14,0
6|14,6,7,8
34|,6,7,8
27|28,11,2,3
37|11,13,9,9
24|30,9,3,5
37|18.37.19,4,0,2
18|14,2,1,1
17|18.37.24,5,4,4
18|0,15,8,9
18|2.18.37,9,8,12
36|33,0,6,6
27|12,8,2,3
3|18.37.18.37,9,11,1
18|37.3,1,11,1
18|30,15,3,5
9|18.37.29,3,15,14
5|14,1,11,1
21|36.4,14,6,6
28|27.36,8,2,3
36|19,0,13,5
11|36,13,9,9
12|28,8,8,3
36|30,12,3,5
27|,8,2,3
0|,13,9,9
17|18.36,5,4,4
0|18.36,13,9,9
18|37.32,5,5,4
0|18.37.32,13,9,9
18|36.2,2,1,12
36|18.37.19,0,0,2
14|18.37.24,2,11,1
4|,14,8,6
10|5,2,8,1
18|30.8,15,3,5
30|18.36,12,3,5
18|5,15,8,1
36|7,0,0,11
18|37.29,0,14,13
14|24,2,11,1
28|27.12.24,8,2,3
16|,10,8,7
24|18,9,8,5
18|37.8,12,5,7
18|36,5,4,4
21|18,6,10,6
21|4,14,6,6
24|36,9,11,1
18|36.8,0,3,5
23|36,10,14,0
37|18.37.32,13,4,4
6|18.37.24,6,7,8
4|36,14,10,6
37|18.37.33,4,12,9
2|18,2,8,12
36|31,5,4,4
33|36.4,14,10,6
18|36.18.37.18,0,8,13
9|,3,15,14
37|12,11,2,3
9|24,3,15,14
26|36.23,10,8,10
18|3.5,15,11,1
37|31,5,4,4
18|37.18.37.30,12,3,15
13|30,12,3,5
36|22,0,15,14
7|36,7,0,11
31|18.36,5,8,7
24|18.37.24,9,8,12
18|21,15,10,6
27|18.37,11,2,3
18|37.18.37.33,4,10,6
8|13.30,12,3,5
18|33,15,6,6
37|18.37.20,4,9,9
37|16,10,5,10
25|,7,0,11
37|18.37.30,12,3,15
12|24,8,2,3
36|9.22,0,15,14
36|17,5,4,4
34|36,6,7,8
22|18,3,15,14
8|18,11,8,5
26|24,10,14,0
36|27,11,2,3
18|36.33,0,6,6
0|11,13,9,9
6|24,6,7,8
19|,4,0,2
24|5,9,11,1
36|6.34,5,7,8
33|21,14,10,6
16|18.36,10,14,0
24|18.2,9,8,12
11|18.37.18,13,9,9
36|26,10,14,0
18|37.13,11,3,5
33|36.21,14,10,6
9|36.18,3,15,14
37|18.36,0,8,13
18|37.28.27,8,2,3
22|9,3,5,14
2|36,2,8,12
18|32,13,9,9
19|24,4,0,2
18|12,8,2,3
10|18.36.18,2,8,12
37|18.37.18.37.2,2,1,12
18|2,2,8,12
36|27.12,11,2,3
23|24,10,8,10
37|18.37.18.37.16,4,8,10
5|18.36.18,1,8,1
13|36.30,12,3,5
22|,3,8,14
23|18.37.18,10,8,13
22|18.37.18.37,3,15,14
5|18.14,1,11,1
4|18,14,10,6
21|24,14,10,6
18|37.18.37.24,9,8,12
12|18.36,8,2,3
37|18.37.34,6,7,8
18|37.33,14,10,6
36|13,12,8,5
36|32,0,4,4
7|,7,0,11
25|18.37,7,0,11
31|17.24,5,4,4
8|,12,3,5
18|36.21,6,10,6
11|0.18.37.32,13,9,9
18|6,6,7,8
18|37.18.37.19,4,0,2
37|26,10,14,0
31|,5,8,4
14|18.36,11,8,7
18|37.18.32,13,9,9
5|10,0,11,1
31|32,5,4,4
15|36,7,0,11
36|4.36.21,14,10,6
18|11,15,9,9
