sequence,Gephi,KMeans_15D,KMeans_2D
25|,7,1,8
9|22,3,4,9
23|36,10,0,0
3|5.18.14,1,3,2
27|18.37,11,8,8
37|18.37.22,3,2,4
31|,5,1,8
6|24.18.37.18,6,5,7
3|36,1,0,0
18|37.28.27,8,0,0
2|18,2,1,8
24|30,9,0,8
27|36,8,8,5
15|,7,1,3
22|9.36,3,2,4
2|18.37.18.37.18.37,2,8,8
36|26,10,4,9
37|7,7,4,9
18|37.5,1,0,0
36|9.22,0,3,2
36|2.18.37,2,7,6
5|18.37.18.37.18.37,1,8,8
36|19,0,5,5
34|36,6,0,0
24|20,9,5,7
2|36,2,0,0
24|10,9,0,8
18|8,15,7,6
37|10,2,4,9
18|5,15,5,7
8|13.24,12,2,4
21|36.4,14,3,2
17|36,5,0,0
37|11,13,7,1
13|18.36,12,8,2
18|10.2.18,9,7,7
31|32,5,3,2
12|18.36,8,8,2
22|18,3,1,8
18|36.32,0,7,6
6|,6,4,9
30|36,12,8,5
18|36.6.18,6,7,7
8|13.30,12,3,2
7|18,7,1,3
20|18.37,13,8,8
36|31.17,5,2,4
0|20,13,4,9
2|18.36.18.37.18,2,7,7
13|30,12,7,1
31|18,5,1,3
6|18.36,6,8,2
28|18.37.18,11,8,8
27|,8,1,8
37|18.37.18.37.32,13,6,2
37|24.22,9,3,2
18|36.18.37.29,0,0,0
36|23,10,4,9
13|36.30,12,3,2
6|14,6,5,7
26|18,10,1,3
8|13.18.36,12,2,4
18|37.18.37.19,4,5,5
16|26.36,10,2,4
18|36.29,0,0,0
36|4,14,4,9
36|10,0,4,9
36|4.36.21,14,3,2
9|18.36,3,8,2
36|21.36.4,14,3,2
21|18.36,6,8,2
18|30,15,0,0
37|18.32,13,6,2
18|23,15,7,7
33|18,14,1,8
24|18.36,9,1,8
37|33,14,4,9
36|23.36,0,2,4
18|32,13,3,2
37|19,4,5,5
37|18.37.18.37.2,2,2,4
13|36,12,0,0
36|3,0,4,9
18|36.30,12,7,6
23|18,10,1,8
3|5,1,4,9
24|33,9,7,7
12|18,8,1,8
37|29,0,5,5
13|18.30,12,2,4
31|17.24,5,2,4
17|31,5,7,1
13|,12,1,8
18|33,15,7,6
32|,5,4,9
36|27,11,8,2
8|18,11,1,8
37|0,13,4,9
4|36.21,14,3,2
11|18.37.18,13,8,8
18|28,15,7,6
18|37.18.37.2,2,5,5
18|36.9,0,7,6
36|11,13,4,1
0|36,13,0,0
36|25.15,7,2,4
24|18.2,9,7,1
37|31,5,4,9
36|17,5,0,5
36|14,0,5,5
26|,10,0,0
18|2,2,0,0
36|13,12,8,2
5|18.14,1,2,4
17|,5,0,8
13|8,11,7,1
37|34,6,4,9
34|24,6,8,2
10|,2,1,3
36|2,2,4,9
3|18.37.18.37,9,8,8
37|20,13,7,1
0|18.36,13,8,2
23|36.16,10,3,2
26|24,10,8,2
36|5.18.14,1,2,4
24|22,9,4,1
36|5,0,4,5
33|,14,8,5
25|18.37,7,8,8
24|3,1,4,9
6|24,6,0,8
26|23,10,4,9
6|36,6,0,0
30|,12,4,9
26|36.23,10,3,2
24|18.37.18.37.24,9,7,7
34|6.36,6,2,4
23|18.37.33,10,2,4
3|18.14,1,2,4
24|5,9,5,5
18|36.24,9,0,0
26|36.18,10,0,0
22|18.37.18.37,3,8,8
37|32,5,4,9
37|18.14,11,2,4
16|26.24.18,10,2,4
26|24.18,10,5,5
22|9.24,3,2,4
16|23,10,2,4
16|18,10,1,8
36|31,5,0,5
28|27,8,4,9
12|,8,0,8
36|33,0,7,1
23|26.16,10,3,2
36|12,8,0,5
18|36.23,0,7,6
10|2,9,0,8
18|37.18.37.22,3,5,5
9|18.37.29,3,2,4
18|36.18.37.18,0,9,3
30|24,12,0,8
0|,13,1,3
37|18.36.16,11,2,4
18|36.18,0,9,3
36|0,13,0,5
28|,11,1,8
14|18.36,11,8,2
20|,13,1,3
22|9.18.36,3,2,4
37|18.37.18.37.34,4,2,4
33|36.4,14,3,2
18|37.32,5,0,0
11|0.24,13,2,4
23|29,10,5,7
4|,14,0,8
36|8,0,2,4
11|,13,1,3
3|,1,1,3
24|36,9,1,3
4|21,14,5,5
14|,2,1,3
18|37.18.37,11,9,3
37|24,9,1,3
18|21,15,5,7
37|23,10,4,9
9|,3,1,3
36|15,7,0,5
24|34,9,5,7
26|16,10,4,1
18|37.19,4,0,0
37|4,14,4,9
37|28.27,8,2,4
11|36,13,8,5
21|4,14,4,9
36|24,9,1,3
2|18.37,2,1,3
37|18.37.18.37.30,12,6,2
23|,10,0,0
36|6.24,6,2,1
8|,12,0,8
28|12.18,11,7,1
12|28,8,7,1
4|18.37.18.37.34,14,3,2
34|18.37,6,0,8
18|37.22,3,0,0
34|,6,1,3
37|13,11,4,1
36|32,0,2,4
17|18.37.24,5,7,7
2|,2,4,9
18|37.29,0,0,0
16|26,10,4,9
36|21,6,4,9
36|,5,9,3
36|30.8,12,3,4
14|18.37.24,2,7,7
36|29,0,5,5
33|21,14,4,9
24|18,9,9,3
28|27.36,8,2,4
18|37.18.37.18.37,4,9,3
6|34,6,4,9
37|18.37,11,1,3
18|37.18,15,9,3
16|,10,4,4
37|,6,1,3
24|18.37.18,9,1,3
18|24.18.37.18.37,15,7,1
5|3.18,9,7,1
28|27.12.24,8,3,2
27|12,8,1,8
18|14,2,0,0
18|37,6,9,3
18|14.18.36,11,2,4
31|36.17,5,2,4
6|18.37.24,6,7,7
18|37.18.37.34,6,5,5
37|5,1,4,9
32|18,5,8,8
24|18.37.24,9,7,7
36|18.37.18,0,1,3
36|16.26.24,10,3,2
24|,9,9,3
18|29,15,0,0
18|19,15,0,0
23|18.37.18,10,8,8
5|18.37.18.36,1,7,7
18|,9,9,3
16|26.24,10,2,4
21|,6,1,3
