source, target
4|36,36|4
4|36,21|4
37|29,18|37.29
16|18.36,26|16.18
16|18,37|16
16|18,26|16.18
16|18,23|16
16|18,36|16
18|36.19,37|18.36
18|36.19,36|18
18|36.19,19|
2|36.24,37|2
3|5,37|3
3|5,18|3.5
3|5,24|3
3|5,36|3
22|9.36,37|22
24|30.18,37|24
24|18.37.18,13|24
24|18.37.18,26|24.18
24|18.37.18,34|24.18
24|18.37.18,6|24.18.37.18
24|18.37.18,2|24
24|18.37.18,28|
24|18.37.18,0|24
24|18.37.18,5|24
24|18.37.18,4|24
24|18.37.18,18|
24|18.37.18,30|24
24|18.37.18,14|24
24|18.37.18,22|24
24|18.37.18,17|24
24|18.37.18,36|24
24|18.37.18,37|24
24|18.37.18,21|24
24|18.37.18,15|24
24|18.37.18,23|24
24|18.37.18,10|24
24|18.37.18,19|24
24|18.37.18,16|24
24|18.37.18,9|24
24|18.37.18,12|24
27|12.24,28|27.12.24
18|37.18.37.32,37|18.37.18.37.32
18|37.18.37.32,0|
30|24,13|30
30|24,37|30
30|24,18|30
30|24,8|30
30|24,36|30.24
37|18.37.16,18|37.18.37.16
36|6.34,18|36
18|0,37|18
36|18.37.29,18|36.18.37.29
13|36.30,8|13.36.30
18|37.24,5|
18|37.24,4|18
18|37.24,29|
18|37.24,14|18.37.24
18|37.24,2|18.37
18|37.24,13|18.37
18|37.24,0|
18|37.24,10|18
18|37.24,21|18
18|37.24,19|
18|37.24,36|18
18|37.24,17|18.37.24
18|37.24,37|18.37.24
18|37.24,12|18.37
18|37.24,6|18.37.24
18|37.24,23|18
18|37.24,30|18
18|37.24,24|18.37.24
8|13.24,30|8.13.24
14|,36|14
14|,37|
14|,6|14
14|,5|14
14|,3|
14|,18|14
14|,24|
18|14.18.36,37|18.14
28|18.37.18,37|28
31|17,36|31.17
31|17,32|
31|17,37|31
26|16.18,37|26
5|18.14,3|5.18.14
5|18.14,37|5
5|18.14,36|5.18.14
36|30,13|36.30
36|30,18|36.30
13|18.36,8|13.18.36
12|28,27|12
18|37.18.32,0|
37|34,18|37.34
9|,22|9
9|,18|9
9|,36|9
9|,24|
9|,37|9
30|13,8|30
18|28,37|18
22|9.18.36,37|22
36|12,27|36
36|12,18|36
9|36,22|9.36
9|36,36|9
9|36,37|9
18|37.25,37|18.37
18|37.25,19|
11|0.36,20|
37|32,18|37.32
26|36.18,36|26
12|18.36,27|12
18|37.18.37.24,36|18.37.18
18|37.18.37.24,4|18
18|37.18.37.24,19|
18|37.18.37.24,29|
18|37.18.37.24,6|18
18|37.18.37.24,24|18.37.18.37.24
18|37.18.37.24,12|18.37
18|37.18.37.24,0|
18|37.18.37.24,14|
18|37.18.37.24,37|18.37.18.37
16|36,37|16
16|36,36|16
7|36,37|7
18|37.18.37.18.37.2,14|
18|37.18.37.18.37.2,37|18.37.18.37
18|36.7,37|18.36
32|18,37|32
8|30,37|8
36|3,18|36.3
36|3,24|36
18|37.24.22,37|18.37.24
37|8,18|37.8
16|26,37|16
16|26,18|16
16|26,23|16
16|26,36|16
16|26,24|16
18|24.22,37|18
18|23,37|18
33|18,36|33
33|18,37|33
17|18.37.24,31|17
6|18.37.24,34|
3|5.18.14,24|3
31|36.17,36|31
4|,37|4
4|,36|4
4|,18|4
4|,21|4
4|,24|
4|,23|
4|,33|
37|10,18|37.10
6|24,36|6.24
6|24,34|
6|24,37|
24|,25|
24|,3|
24|,11|
24|,2|24
24|,28|
24|,0|24
24|,26|24
24|,27|24
24|,5|24
24|,8|
