sequence,struc2vec128D,community
37|9,1,8
13|23,3,11
100|3,1,6
23|4.9,2,8
36|32,1,12
27|11.24.23.100.23,2,0
4|29,1,14
24|100,3,10
4|8.25.23,1,4
0|23.40.23.100,1,7
40|23.25,1,10
40|23.8,1,10
15|23.37,1,1
23|100.21,2,10
24|23.40,3,0
17|23,3,7
16|23.40,3,7
26|2,0,9
40|23.2,1,10
16|,3,5
23|100.4.23,2,15
24|23.100.23,1,11
7|23.40.23.100,1,7
26|4,3,13
23|100.4,1,11
40|23.9.20,2,8
14|5,1,6
33|36,1,3
23|40.23.33,1,3
7|37,1,10
40|23.3,2,3
9|20,1,8
23|0.1,1,12
40|23.100.4.23,2,15
100|15,1,1
23|31,1,6
11|23,3,0
23|4.20,2,4
9|36,1,8
40|6,1,2
23|37.23.100,2,1
37|3,1,3
17|100,3,10
23|100.22,1,6
4|36,1,4
23|40.23.100.31,0,6
40|23.30,2,3
23|8,0,4
100|22,1,10
100|23.40.23.4,1,15
28|,3,7
23|30,1,3
13|23.40,1,7
100|29,1,10
23|34,1,12
36|26,1,9
100|6,1,2
23|36.23.100,2,1
23|100.23.36,1,1
24|37,1,0
40|23.100.10,2,15
20|37,1,8
4|10.16,1,4
100|25,0,4
1|32.0.4,2,13
100|7,0,10
23|4.23.100,1,4
23|40.23.20.23,1,4
4|31.14,1,6
10|16.100,1,5
23|9,0,1
8|25.23.40,1,4
40|23.100.27,2,0
23|9.20,2,8
20|23.40.23.4,1,4
0|1.32.23.100,2,12
16|15,1,5
40|23.24,2,0
100|16,1,5
11|24.23.40,1,15
23|40.23.9.20,1,4
40|23.100.26,2,7
15|,3,4
100|4.23,3,13
27|11.24.23.40,2,0
100|17,1,6
8|,3,4
4|20,1,4
40|7,1,10
40|23.0.23,2,12
23|37.23.4,2,1
34|13.23.40,2,2
40|23.100.25,2,4
15|23.40,3,4
9|23.40,3,1
21|7,0,10
37|20,1,8
27|11,0,0
40|23.22,1,1
4|23.37,1,1
40|23.9,1,1
4|23.40.23.100.4,1,15
23|40.23.28,1,7
40|,3,12
23|40.23.100.33,1,7
37|27,1,0
4|0.1,2,12
15|23.40.23.9,1,4
28|36,1,7
23|100.0,2,12
0|4,3,13
21|7.23.40,1,10
23|40.23.100.10,2,15
100|23.40.23.33,2,3
23|40.23.100.27,1,7
18|,3,7
23|37.23.22,2,1
23|40.23.100.4,3,7
23|40.23.26,1,9
23|40.23.2,1,10
23|18,0,7
36|23,3,1
5|23,3,1
4|23.40.23.4,1,15
40|23.20.23,2,4
23|40.23.12,0,11
36|10,0,5
22|23.37,1,1
29|21.7.23.100,2,10
10|16,0,5
23|100.23.40.23.4,1,11
23|17,1,12
3|100,3,10
37|18,1,7
25|8,0,4
23|4.8,2,4
23|7,0,10
23|14,1,6
32|36,1,12
23|33,0,3
1|32.23.100,2,12
18|36,1,7
18|17.23,1,7
5|14,1,6
14|5.23.40,1,6
30|36,1,3
7|36,1,10
29|21.7.23.40,2,10
23|26,0,9
10|16.23.100.23.100,2,5
17|,3,12
100|4.29,2,14
33|30,0,3
40|23.27,2,10
28|18.17.23,1,7
30|3.23,1,7
23|100.23.40,3,11
100|23.40.23.27,2,10
100|11,0,0
100|31,1,6
4|8,1,4
100|15.23.40,1,4
7|23.40.23.27,2,10
23|100.16,2,5
22|23.100,1,11
40|23.100,1,6
23|100.25,2,4
100|23.37,1,1
16|10,0,5
36|11.24,2,0
23|40.23.4,3,4
7|,3,10
40|23.100.8,2,4
10|36,1,5
23|21,0,10
23|4.36,2,4
0|1,1,12
37|10,0,5
0|,3,12
23|100.11,2,0
21|29.23,1,10
36|27,1,0
9|,3,8
100|26,0,9
3|,3,3
4|0,1,12
40|23.4,1,4
4|25,0,4
18|28,1,7
24|,3,0
16|100,0,10
40|32,1,12
30|23,3,7
23|20.23,1,4
8|23,3,4
23|10.16,2,5
23|40.23.100.4.26,1,9
20|,1,8
1|32.23,1,12
29|7.23,1,10
23|0.23,1,12
23|16,0,5
100|23.100,1,11
23|4,3,13
11|24,0,0
40|23.10.16,2,5
100|10,0,5
23|28,0,7
100|23.40.23.10,2,5
31|,3,6
40|23.12,1,11
4|37,1,13
23|100.23.40.23.20,2,4
37|22,1,10
22|23,3,7
100|4.0,2,12
29|,3,10
23|40.23.100.26,1,7
23|25,0,4
1|,3,12
29|21.23,1,10
13|,0,2
37|23,3,4
27|,3,0
23|40.23.4.23.40,2,15
27|24.11,1,0
23|22,3,1
18|17,0,7
23|100.23.37,1,11
10|16.23.40,1,5
23|40.23.22,0,1
23|15,0,4
7|29,1,10
100|8,0,4
23|2,0,11
32|0.4,1,13
100|0,1,12
23|40.23.100,3,7
32|,0,12
3|23,3,7
40|23.4.23.40,1,15
23|100.10,2,15
21|29.7,1,10
100|,3,10
23|11,0,1
23|36,3,1
23|100.15.23.40,1,11
23|100.23.40.23.22,1,11
25|23,3,11
3|33,1,3
25|23.100.15,1,11
36|1,1,12
23|29,0,10
23|100.8,2,4
32|23,3,7
36|6,1,2
23|40.23.20,1,4
23|32,1,12
21|23,3,7
4|23.100.23.40,1,11
23|4.23.40,0,15
5|,3,6
100|5,1,6
23|40,3,7
1|32.0,2,12
4|23.40.23.100.26,2,7
23|100.22.23,2,11
15|23.40.23.20.23,2,4
23|100.23.15,1,11
40|23.100.4.0,2,12
32|37,1,12
27|24.23,1,0
8|25.23,1,4
1|0,1,12
32|0,1,12
23|11.23,1,1
23|37,3,1
23|20,1,8
31|14.5.23.100,2,6
23|10,0,5
25|15,0,4
100|23.40.23.100,1,7
4|8.23,1,4
100|23.40.23.1,2,12
40|23.10,1,5
4|23.100,3,13
11|23.100.23,1,11
23|12,0,11
23|100.23.40.23.100,1,11
34|13,1,2
23|5,1,6
40|23.20,1,8
40|23.100.4.26,2,9
22|,3,10
24|11,0,0
6|,3,2
23|40.23.9,1,4
23|,3,7
23|100.4.29,2,14
40|20,2,8
36|21,1,10
23|40.23.100.22.23,1,11
6|34,1,2
36|20,2,8
100|23.40.23.20,2,4
26|23.40,1,7
100|23.40,3,10
23|100.23.100,0,11
23|40.23.1,2,12
37|,3,3
100|4,3,4
2|100,1,10
100|23,3,10
23|40.23.10.16,2,5
4|23,3,13
40|23.100.15,2,11
7|21.29,1,10
2|23,3,11
10|,3,5
23|100.15,1,11
4|23.40,3,13
40|23.100.22.23,2,11
37|12,1,11
4|,3,13
36|,3,0
12|,3,11
23|100.23.100.23.100,2,11
40|4,1,13
