source,target,value
1000|,1001|1000,1.0
1000|,51|,0.01823250627265124
1000|,41|,0.004126010593810984
1000|,82|,0.011708948982436577
1000|,12|1000,1.0
1000|,22|1000,1.0
1000|,103|1000,1.0
1000|,113|,0.004516308893225537
1000|,122|,0.0032896570950655146
1000|,32|,0.029160858656258712
1000|,53|,0.05397267911904098
1000|,42|,0.014218009478672985
1000|,91|1000,1.0
43|1000.1003,42|43,1.0
1000|41,1003|1000.41,1.0
1001|92,92|,1.0
1000|1003.1000.41,51|1000.1003,0.5302013422818792
1000|1003.1000.41,0|1000.1003,0.4697986577181208
22|21,1000|22,1.0
11|,12|11,0.36879432624113473
11|,1000|11,1.0
11|,1001|11,1.0
21|1000.1003,1000|21,1.0
111|,1000|111,1.0
53|,1000|53,0.8474320241691843
1003|1000.101,1000|1003.1000.101,1.0
102|103,101|,1.0
0|,1002|0,1.0
0|,11|,0.027571580063626724
0|,91|,0.028985507246376812
0|,52|,0.022622834924001415
0|,51|,0.017674089784376106
0|,1000|0,0.0697503671071953
0|,112|,0.024743725698126547
0|,42|,0.022976316719688937
0|,32|0,1.0
0|,82|,0.03428773418168964
0|,81|,0.018027571580063628
0|,103|0,1.0
0|,43|,0.022976316719688937
0|,71|0,1.0
0|,12|,0.018027571580063628
0|,1001|0,1.0
72|,0|72,1.0
72|,1000|72,1.0
72|,71|72,1.0
51|1000.1003,52|51,1.0
12|1000,1000|12,1.0
1000|1003.1000.93.92,103|1000,1.0
1000|1003.1000.0.1000,0|1000.1003,1.0
1000|124,1003|1000.124,1.0
1001|42,42|,1.0
1000|21,1003|,1.0
112|1000,113|,1.0
1001|0,0|1001,1.0
113|112.1000.1003,111|,1.0
1000|1003.1000.124,121|,1.0
1000|33.1000.1003,1003|,1.0
1003|1000.124,1000|1003.1000.124,1.0
1003|1000.51,1000|1003.1000.51,1.0
21|1000.33,22|21,1.0
0|82,1000|0,1.0
1000|1003.1000.101,112|1000.1003,1.0
123|1000,122|123,1.0
71|0,72|71,1.0
32|,0|,0.08700834326579261
32|,1002|32,1.0
32|,1000|32,0.8432203389830508
32|,1001|32,1.0
1000|83,1003|1000.83,1.0
82|83,1000|82,1.0
1001|32,32|1001,1.0
103|,101|,0.18333333333333332
103|,102|103,1.0
103|,1000|103,1.0
32|1001,1000|32,1.0
1000|1003.1000.52,53|,1.0
22|,1000|22,1.0
22|,0|22,1.0
22|,21|,0.14835164835164835
1000|0,1003|,0.78928046989721
1000|0,1001|1000,0.0697503671071953
