sequence,gephi,kmeans_15d,kmeans_2d
33|36.4,14,3,3
37|24,9,2,1
36|15,7,0,2
37|18.37.18.37.34,4,3,3
37|23,10,1,0
37|18.36.16,11,3,3
11|36,13,0,1
21|4,14,1,0
18|37.29,0,0,2
4|18.37.18.37.34,14,3,3
36|24,9,2,1
36|30.8,12,3,3
34|,6,2,1
34|18.37,6,0,2
17|18.37.24,5,1,0
2|18.37,2,2,1
37|13,11,1,0
8|,12,0,2
36|6.24,6,3,3
18|37.22,3,0,2
24|18,9,2,1
12|28,8,1,0
36|32,0,3,3
28|12.18,11,1,0
37|,6,2,1
36|,5,2,1
16|26,10,1,0
36|21,6,1,0
36|29,0,0,2
33|21,14,1,0
14|18.37.24,2,1,0
18|37.18.37.18.37,4,2,1
2|,2,1,0
28|27.12.24,8,3,3
18|37,6,2,1
28|27.36,8,3,3
6|34,6,1,0
37|18.37,11,2,1
5|3.18,9,1,0
24|18.37.18,9,2,1
18|14.18.36,11,3,3
18|37.18,15,2,1
18|24.18.37.18.37,15,1,0
16|,10,1,0
6|18.37.24,6,1,1
27|12,8,0,1
31|36.17,5,3,3
18|37.18.37.34,6,1,0
36|18.37.18,0,2,1
18|,9,2,1
18|14,2,0,2
32|18,5,0,1
24|18.37.24,9,1,1
18|37.18.37.33,4,1,0
18|29,15,0,2
18|19,15,0,2
36|16.26.24,10,3,3
24|,9,2,1
37|5,1,1,0
18|36,5,2,1
23|18.37.18,10,0,2
21|,6,2,1
5|18.37.18.36,1,1,0
24|18.37.18.37,9,2,1
37|18,15,2,1
18|37.24.22,9,3,3
16|26.24,10,3,3
19|,4,2,1
29|,0,2,1
5|,1,2,1
37|18.37.24,9,1,0
36|18,0,2,1
18|37.18.36,0,2,1
18|37.18.37.24,9,0,1
37|18.36,0,2,1
18|37.24,9,2,1
18|37.18.37.30,12,3,3
37|18.37.18.37,4,0,1
