6 => 18 0.17410714285714285
6 => 30 0.7276785714285714
6 => 36 0.05357142857142857
6 => 2 0.044642857142857144
30 => 18 0.6301369863013698
30 => 6 0.0867579908675799
30 => 2 0.2831050228310502
31 => 14 0.15716486902927582
31 => 100 0.4776579352850539
31 => 37 0.020030816640986132
31 => 18 0.1679506933744222
31 => 17 0.05701078582434515
31 => 36 0.05855161787365177
31 => 4 0.061633281972265024
17 => 14 0.022123893805309734
17 => 31 0.6489675516224189
17 => 100 0.11946902654867257
17 => 4 0.05604719764011799
17 => 18 0.061946902654867256
17 => 36 0.09144542772861357
36 => 14 0.058823529411764705
36 => 31 0.17194570135746606
36 => 4 0.058823529411764705
36 => 18 0.3755656108597285
36 => 6 0.05429864253393665
36 => 17 0.28054298642533937
38 => 18 1.0
2 => 14 0.07011070110701106
2 => 18 0.5166051660516605
2 => 100 0.03690036900369004
2 => 6 0.26199261992619927
2 => 30 0.11439114391143912
37 => 18 0.6904761904761905
37 => 31 0.30952380952380953
14 => 31 0.10204081632653061
14 => 100 0.18979591836734694
14 => 4 0.3
14 => 18 0.2653061224489796
14 => 17 0.08775510204081632
14 => 36 0.026530612244897958
14 => 2 0.02857142857142857
13 => 15 1.0
18 => 31 0.030931871574001565
18 => 100 0.14291307752545027
18 => 4 0.1624902114330462
18 => 37 0.011354737666405637
18 => 13 0.00822239624119029
18 => 24 0.01096319498825372
18 => 14 0.12411902897415818
18 => 15 0.003915426781519186
18 => 40 0.31597494126859826
18 => 39 0.020360219263899765
18 => 36 0.03249804228660924
18 => 30 0.010180109631949883
18 => 6 0.04502740798747063
18 => 17 0.017619420516836334
18 => 38 0.005090054815974941
18 => 2 0.058339859044635865
15 => 18 1.0
40 => 18 0.9853479853479854
40 => 4 0.014652014652014652
24 => 18 1.0
39 => 18 0.8
39 => 4 0.2
4 => 14 0.04184704184704185
4 => 31 0.05483405483405483
4 => 100 0.0707070707070707
4 => 36 0.01875901875901876
4 => 18 0.06926406926406926
4 => 40 0.017316017316017316
4 => 39 0.01875901875901876
4 => 17 0.7085137085137085
