sequence,Gephi,KMeans_15D,KMeans_2D
21|33,6,2,7
18|37.15,7,8,3
36|3,0,15,1
24|28,9,11,4
37|18.37,11,8,14
18|9,15,12,9
18|36.18.37.29,0,5,13
36|16,11,5,2
37|18.37.23,4,5,13
18|36.23,0,5,2
18|36.14,0,15,14
10|2,9,10,8
25|15,7,8,3
17|24,5,3,10
32|31.18,5,3,10
2|24,2,10,8
16|26.24.18,10,5,13
37|2,2,15,8
36|9.22,0,8,9
18|36.10,0,10,8
36|18.37.29,0,4,13
20|18.37,13,14,6
18|36.16,11,5,2
3|18.14,1,15,1
18|37.18,15,1,14
13|8,11,1,5
6|,6,8,14
24|3,1,15,1
18|37.0,13,14,6
36|26,10,5,2
18|36.7,0,8,3
23|16,10,5,13
18|37.26,10,5,2
30|,12,8,14
5|,1,15,1
5|18.37.18.37.18.37,1,15,1
20|,13,14,6
31|36.17,5,3,10
6|24.18.37.18,6,7,0
33|36.21,14,2,7
24|6,6,7,0
18|37.9,3,9,13
18|37.12,11,11,4
33|,14,2,7
2|10.18,2,15,8
18|37.22,3,12,9
5|18.37.18.36,1,15,1
36|16.26.24,10,5,13
30|24,12,1,5
36|6.24,6,7,0
36|25.15,7,8,3
33|4.21,14,2,7
37|4,14,2,7
7|37,7,8,3
24|34,9,7,0
37|8,12,1,5
17|31,5,3,10
10|18,2,10,8
37|18.37.18.37.34,4,7,0
20|11.0.24,13,8,6
31|18,5,3,10
16|18,10,5,2
18|37.30,12,1,15
18|37.10,2,10,13
27|,8,11,4
37|10,2,6,2
18|37.18.14,11,15,1
27|24,8,11,4
18|36.3,0,15,1
24|16,9,0,2
6|36,6,7,0
36|9,3,12,9
0|,13,14,6
3|5,1,15,1
19|24,4,8,12
30|18,15,1,5
37|18.36.16,11,5,2
26|24.18,10,5,13
34|24,6,7,0
18|37.18.36.16,11,5,2
11|0.24,13,14,6
12|27,11,11,4
18|37.24.22,9,0,9
0|18.37.32,13,3,6
9|36,3,12,13
36|24,9,0,8
37|28.27,8,11,4
22|9.18.36,3,12,9
24|18.14,9,0,1
36|2.18.37,2,10,8
23|26.16,10,5,13
16|26.23.24,10,4,11
18|37.18.37.33,4,2,7
37|30,12,10,15
37|25,11,8,3
13|18.36,12,1,5
37|18.37.22,3,12,9
24|30.18,9,0,5
8|30,12,1,5
37|13,11,1,5
18|37.27,11,11,4
37|15,7,8,3
36|4,14,2,7
18|32,13,14,6
24|18.36,9,0,1
18|36.24,9,0,1
18|22,15,12,9
36|6,6,7,0
32|17.18,5,3,10
37|22,3,12,9
18|37.4,14,2,7
26|23.24,10,4,11
16|26.24,10,5,13
26|,10,5,2
36|23.24,10,4,11
36|,5,8,14
33|21.18,14,2,7
37|18.37.18.37,4,8,14
18|37.18.37.18.37,4,8,14
37|24.22,9,0,9
37|28,11,11,4
36|23,10,5,2
18|37.5,1,0,14
36|8,0,1,5
29|36.18,0,5,13
36|29,0,10,8
18|36.26,0,5,2
6|14,6,7,0
18|36.22,0,12,9
34|,6,7,0
27|28,11,11,4
37|11,13,14,6
24|30,9,1,5
10|5,2,10,8
18|14,2,15,1
17|18.37.24,5,3,10
18|2.18.37,9,0,1
18|30.8,15,1,5
27|12,8,11,4
3|18.37.18.37,9,15,1
18|37.3,1,15,14
18|30,15,1,5
9|18.37.29,3,12,9
5|14,1,15,1
28|27.36,8,11,4
2|36,2,10,8
11|36,13,14,6
12|28,8,11,4
18|29,15,4,13
37|19,4,8,12
5|18.14,1,15,1
3|18,1,15,1
18|36.2,2,10,8
36|18.37.19,0,8,12
14|18.37.24,2,0,1
4|,14,2,7
37|18.37.19,4,8,12
36|33,0,2,7
30|18.36,12,1,5
18|24.22,15,12,9
36|7,0,8,3
18|37.29,0,4,13
14|24,2,15,1
36|4.36.21,14,2,7
16|36,10,4,2
16|,10,8,14
24|18,9,0,14
18|37.8,12,1,5
18|36,5,3,10
21|18,6,2,7
21|4,14,2,7
36|27,11,11,4
18|36.8,0,1,5
23|36,10,5,13
37|18.37.32,13,3,10
18|0,15,14,6
25|,7,8,3
37|18.37.33,4,2,7
16|26.36,10,4,11
18|36.18,0,8,14
18|36.18.37.18,0,8,14
7|,7,8,3
36|23.36,0,5,2
9|,3,12,9
37|12,11,11,4
9|24,3,12,9
26|36.23,10,4,11
18|3.5,15,15,1
18|37.18.37.30,12,1,15
15|,7,8,3
36|22,0,12,9
7|36,7,8,3
31|18.36,5,8,14
24|18.37.24,9,0,1
7|24,7,8,3
27|18.37,11,11,4
36|34,0,7,0
8|13.30,12,1,5
18|33,15,2,7
37|18.37.20,4,14,6
37|16,10,4,11
24|18.37.18,9,0,14
37|18.37.30,12,1,15
16|26.18,10,5,13
24|22,9,12,9
37|18.37.18.37.2,2,15,8
34|36,6,7,0
22|18,3,12,9
37|31,5,3,10
26|24,10,5,13
24|36,9,0,1
18|36.33,0,2,7
0|11,13,14,6
6|24,6,7,0
19|,4,8,12
24|5,9,0,1
36|6.34,5,7,0
33|21,14,2,7
16|18.36,10,5,2
24|18.2,9,0,1
11|18.37.18,13,14,6
36|21.24,14,2,7
18|37.13,11,1,5
37|18.37.18.37.32,13,3,10
18|36.5,0,15,1
37|18.36,0,8,14
18|37.28.27,8,11,4
18|5,15,15,1
13|30,12,1,5
22|9,3,12,9
36|19,0,13,5
17|,5,3,14
18|12,8,11,4
10|18.36.18,2,10,8
18|37.18.37.18.37.2,2,15,8
18|2,2,10,8
36|27.12,11,11,4
23|24,10,4,11
37|18.37.18.37.16,4,4,11
5|18.36.18,1,15,14
2|18,2,10,8
22|,3,12,9
23|18.37.18,10,4,13
36|30,12,1,5
0|18.36,13,14,6
4|18,14,2,7
21|24,14,2,7
18|37.18.37.24,9,0,1
12|18.36,8,11,4
37|18.37.34,6,7,0
18|37.33,14,2,7
36|13,12,1,5
36|32,0,3,10
16|23.18,10,5,2
25|18.37,7,8,3
31|17.24,5,3,10
8|,12,1,5
18|36.21,6,2,7
18|6,6,7,0
18|37.18.37.19,4,8,12
37|26,10,5,2
31|,5,3,14
14|18.36,11,15,1
18|37.18.32,13,14,6
5|10,0,15,1
31|32,5,3,10
15|36,7,8,3
18|11,15,14,6
