sequence,Gephi,KMeans_15D,KMeans_2D
18|37.24,9,0,1
5|18.14,1,0,0
8|13.36.30,12,2,3
32|17.18,5,3,2
21|4,14,1,3
37|5,1,0,1
36|16,11,2,0
2|18.36.18.37.18,2,0,1
18|36.19,0,0,2
16|24,10,2,3
8|13.24,12,3,3
2|,2,0,1
18|37.2,2,0,1
18|37.18.32,13,3,2
37|13,11,0,3
27|12.24,8,3,1
17|18.36,5,3,2
18|37.18.37.26,4,2,3
12|27,11,3,1
12|24,8,3,1
15|36,7,2,0
18|37.25,11,2,0
23|26.16,10,2,0
36|18.37.18,0,2,3
37|24,9,0,1
23|29,10,2,0
11|0.18.37.32,13,2,2
36|3,0,0,0
33|4.21,14,1,3
6|34,6,2,1
34|6.36,6,2,1
18|7,15,2,0
37|18.37,11,2,3
34|18.6,6,2,1
8|13.18.30,12,2,3
33|4.36,14,1,3
31|17,5,3,2
19|,4,2,3
18|36.18.37.29,0,2,0
18|37.9,3,2,2
37|18.37.22,3,2,2
0|36,13,2,2
27|36,8,3,1
18|37.18.37,11,2,3
37|29,0,2,0
26|16,10,2,3
32|36,5,3,2
5|18.36.18,1,2,1
18|36.33,0,1,3
18|30,15,2,3
33|36.4,14,1,3
6|18.14,6,0,0
34|36,6,2,1
36|7,0,2,0
36|0,13,2,2
26|36.23,10,2,3
24|30,9,0,3
18|37.3,1,0,0
13|36,12,0,3
9|18.36,3,2,2
13|36.30,12,2,3
18|19,15,2,0
18|37.30,12,3,2
18|24.22,15,2,3
28|27,8,3,1
37|15,7,2,0
20|18.37,13,2,2
34|24,6,2,1
18|37.34,6,1,1
37|18.37.32,13,3,2
18|37.19,4,2,3
21|36.4,14,1,3
31|36.17,5,3,2
37|18.36.16,11,3,0
9|24,3,2,2
36|16.26.24,10,2,0
11|0.18.36,13,2,2
21|18,6,1,3
37|22,3,2,2
37|18.37.24,9,0,1
37|7,7,2,0
37|10,2,0,0
18|37.24.22,9,2,2
20|36.11,13,2,2
18|37.27,11,3,1
18|37.7,7,2,0
22|9,3,2,2
18|37.28.27,8,3,1
24|18.37.18.37,9,2,3
2|18.37.18.37.18.37,2,0,1
36|5,0,0,0
14|18.36,11,3,1
37|18.37.18.37.30,12,3,3
37|18,15,2,3
10|24,2,0,1
37|26,10,2,3
18|36.4,0,1,3
6|18.36,6,2,1
36|26,10,2,3
12|18.36,8,3,1
5|3.18,9,0,0
27|18.37,11,3,1
13|18.36,12,2,3
17|31,5,3,2
36|14,0,0,0
18|36.22,0,2,2
37|18.37.20,4,2,2
36|6.24,6,2,1
18|37.18.37.28.27,8,3,1
36|2,2,0,1
18|21,15,1,3
18|37.8,12,2,3
37|8,12,2,3
36|17,5,3,2
2|24,2,0,1
9|36.18,3,2,2
5|24,1,0,1
36|11,13,2,2
33|18,14,1,3
4|,14,2,3
24|10.18,9,0,1
36|33,0,1,3
18|37.18.37.16,10,2,3
36|4,14,1,3
16|23,10,2,0
18|28,15,3,1
37|18.37.18.37.16,4,2,3
18|36.18.37.18,0,2,3
37|18.37.7,4,2,0
31|,5,3,2
30|36,12,2,3
25|,7,2,0
8|30,12,2,3
37|18.32,13,3,2
37|18.37.18.37.34,4,1,1
26|24,10,2,0
3|18.14,1,0,0
18|9,15,2,2
11|0.24,13,2,2
18|6,6,2,1
13|18.30,12,2,3
26|36,10,2,3
30|18.36,12,2,3
18|36.18,0,2,3
