32|12.36,36|32,10
32|12.36,17|32.12.36,15
32|12.36,37|32,11
25|11.12,37|25,10
12|19,20|12.19,10
12|19,37|12,34
12|36.12,15|12.36,22
12|36.12,8|,82
12|36.12,37|12,1311
12|36.12,17|12.36,12
12|36.12,25|12.36,116
12|36.12,22|12,13
12|36.12,34|12,16
12|36.12,29|12.36,30
12|36.12,19|12,35
12|36.12,3|12.36,25
12|36.12,10|12.36,22
12|36.12,31|12.36,38
12|36.12,32|12.36.12,24
12|36.12,1|12.36,16
12|36.12,7|,10
12|36.12,20|12,16
12|36.12,18|12.36,24
12|36.12,2|12,30
12|36.12,0|12.36,19
12|36.12,9|,101
12|36.12,13|,45
12|36.12,36|12.36,309
12|36.12,11|12.36,30
12|36.12,23|,10
1|29.25,12|1,12
1|29.25,37|1,35
37|12.6,12|37.12.6,10
12|37.12.6,9|,10
12|37.12.6,37|12,28
33|2.12,26|33,10
22|,36|,15
22|,25|,12
22|,28|,363
22|,37|22,38
22|,12|22,12
22|,34|22,12
12|31.12.36,37|12,15
26|,37|26,76
26|,25|,16
26|,12|26,12
26|,2|26,10
26|,33|,323
26|,36|,27
6|20.12,37|6,15
6|20.12,19|6,23
26|12.37,2|26,14
10|25,30|10.25,31
23|25,5|23,26
12|36.25,13|,13
12|36.25,36|12.36,31
12|36.25,25|12.36,12
12|36.25,37|12,141
37|,5|,15
37|,8|,11
37|,3|,14
37|,25|,12
37|,12|37,113
37|,15|,11
37|,32|,10
37|,16|37,14
12|13.12.37,25|12.13,13
12|37.23,8|,11
12|37.23,37|12,37
12|37.34,2|12,14
12|37.34,22|12,17
12|37.34,25|12.37,15
12|37.34,37|12,104
36|25,13|36,11
36|25,12|36.25,12
36|16,12|36.16,18
36|17,12|36.17,44
17|32.25,12|17,10
17|32.25,37|17,38
12|37.2,37|12,27
1|29,25|1.29,17
1|29,36|1,34
1|29,37|1,165
1|29,12|1,49
24|12,27|24.12,13
24|12,36|,19
24|12,3|24.12,13
24|12,37|24,43
12|37.20,9|,21
12|37.20,36|12,20
12|37.20,37|12,67
36|24.3,27|36,12
28|12,37|28,11
28|12,34|28,10
28|12,22|28,12
22|12,28|22.12,38
22|12,12|22,18
22|12,34|22,15
25|13,11|25,10
25|13,37|25,17
12|36.4,37|12,24
0|25,36|0,15
0|25,15|0,12
0|25,12|0,11
0|25,21|,13
36|,0|,49
36|,23|36,12
36|,12|36,17
36|,30|,21
36|,27|36,18
36|,34|,16
36|,13|36,20
36|,26|36,13
36|,33|,22
36|,16|36,10
36|,24|,24
36|,21|36,16
36|,20|36,15
36|,28|,12
36|,3|,35
36|,9|36,18
36|,10|36,24
36|,1|36,14
36|,18|36,13
36|,17|36,10
36|,29|36,10
36|,22|36,20
36|,4|,22
36|,19|36,23
36|,7|,27
36|,25|36,47
36|,31|,14
36|,2|36,16
36|,11|36,11
36|,15|36,12
36|,6|36,12
36|,32|36,18
36|,8|36,12
12|37.18,31|12,11
12|37.18,25|12.37,13
12|37.18,36|12,15
12|37.18,37|12,93
29|1,37|,37
29|1,12|29,11
29|1,36|29,13
26|2,37|26,36
26|2,36|26.2,12
26|2,33|,269
26|2,12|26,16
12|25,18|,12
12|25,31|12,12
12|25,36|12,49
12|25,19|12,11
12|25,37|12,194
12|25,2|12,11
12|25,11|12,11
12|25,13|12.25,11
12|25,3|12,12
12|25,29|12.25,15
12|25,10|,17
12|25,15|12,12
12|25,34|12,18
6|36,37|6,12
25|18,37|25,31
25|18,36|25,13
12|25.34,37|12,12
37|12.9,12|37.12.9,43
12|36.6,37|12,26
12|37.12.27,37|12,15
12|37.12.27,10|,14
11|13,12|11,36
11|13,36|11,17
11|13,37|11,58
11|13,25|11,53
18|25,37|18,19
13|,25|13,17
13|,18|,11
13|,12|13,19
13|,11|13,53
13|,36|13,49
13|,37|13,197
37|19,12|37.19,28
36|12.36,12|36.12.36,15
12|36.8,8|,12
12|36.8,36|12.36,20
12|36.8,37|12,62
26|25,33|,15
36|9,12|36.9,11
12|36.19,37|12,24
32|17,37|32,65
32|17,12|32,18
32|17,36|32,13
21|,25|21,30
21|,37|21,235
21|,36|21,42
21|,12|21,53
21|,0|21,35
21|,15|,23
34|22,28|34,12
21|15.0,37|21,25
21|15.0,12|21,10
34|,37|34,176
