source,target,value
13|11,37|13,33
36|,22|,35
36|,18|,47
36|,17|,36
36|,15|,67
36|,21|,33
36|,12|36,123
36|,10|,42
36|,3|,35
36|,25|36,47
36|,19|,55
36|,13|,42
36|,1|,31
36|,27|,30
36|,0|,49
36|,9|,33
36|,20|,41
36|,32|,46
36|,11|,36
36|,29|,41
23|12,5|23,108
12|37.20,37|12.37,67
12|37.27,10|,33
12|37.27,37|12.37,113
12|36.18,37|12.36,34
12|37.9,37|12.37.9,294
12|37.9,9|,101
12|37.9,36|12,85
37|12.36,12|37.12.36,54
37|12.25,12|37.12.25,122
12|4,37|12,42
29|,37|29,120
29|,36|,64
29|,12|,60
29|,1|29,49
12|,8|,984
12|,10|,349
12|,15|12,32
12|,18|12,39
12|,30|,86
12|,11|12,31
12|,4|,72
12|,32|,422
12|,22|,256
12|,26|,77
12|,23|12,108
12|,37|12,19204
12|,2|12,240
12|,3|12,49
12|,9|,1051
12|,36|12,2457
12|,1|,189
12|,33|,86
12|,0|,269
12|,28|,60
12|,16|,73
12|,24|12,43
12|,19|,329
12|,13|,407
12|,7|12,34
12|,17|,153
12|,5|,55
12|,34|12,42
12|,6|,93
12|,21|12,32
12|,31|,522
12|,25|,2156
12|,20|12,48
12|,27|,41
12|,29|,340
12|36.17,37|12.36,44
37|11,12|37.11,94
36|17,12|36.17,44
8|12.36,37|8,62
22|,37|,40
22|,28|,363
22|,12|,32
37|12.37.33,12|37.12.37.33,109
36|18,12|36.18,34
2|12,26|2,240
12|36,31|12.36,34
12|36,9|12.36,90
12|36,3|12,31
12|36,15|12,47
12|36,37|12.36,2102
12|36,32|12.36,34
12|36,18|12,52
12|36,13|,71
12|36,29|,49
12|36,36|12.36,416
12|36,19|,64
12|36,8|12.36,62
12|36,25|12.36,65
12|36,2|12,38
12|36,10|,33
12|36,20|12,30
12|36,11|12,47
12|36,1|,35
12|36,0|,40
3|12,27|3,49
3|12,24|3,172
12|27,37|12,36
12|37.12.21,37|12.37,38
9|12.36,37|9,90
36|12,12|36,2457
33|,26|,32
33|,36|,45
33|,12|33,53
33|,2|,30
33|,25|33,39
33|,37|33,242
12|1,37|12.1,55
12|37.12.25,37|12.37,122
37|12.1,12|37.12.1,38
37|13,12|37.13,120
12|37.12.37.6,9|,30
12|37.12.37.6,37|12.37,78
37|31,12|37.31,66
12|36.9,37|12.36,71
24|12,37|24,43
11|13.12.37.12,25|11,30
12|6,37|12,45
37|30,12|37.30,69
17|32.25,37|17,38
12|37.4,37|12.37,92
3|25,24|3,51
37|20,12|37.20,67
2|25,26|2,63
37|12.33,12|37.12.33,37
0|,37|0,158
0|,36|,110
0|,21|0,32
0|,15|0,48
0|,12|0,43
0|12.37.12,15|0,35
12|37.12.17,37|12.37,48
12|37.12.37.17,37|12.37,107
12|36.8,37|12.36,62
12|37.10,37|12.37,37
12|11,37|12,39
34|12,37|34,52
34|12,36|,35
34|12,12|34,42
34|12,22|34,53
12|37.12.1,37|12.37,38
12|37.24,37|12.37,56
12|37.6,37|12.37.6,126
12|37.6,9|,36
17|32,37|17,147
17|32,12|17,65
17|32,25|17,87
17|32,36|17,46
37|17,12|37.17,149
17|12.37,32|17,53
12|17,37|12.17,65
12|37.32,37|12.37,80
12|28,37|12,33
37|7,12|37.7,62
12|37.26,37|12.37,46
15|12.37,0|15,138
15|12.37,21|15.12,51
12|9,37|12.9,82
32|25,17|32.25,38
21|,36|,56
