source,target,value
12|37.12.8.12.37.16,5|12,1
37|12.37.8.36.23,12|37.12.37.8.36.23,1
12|29.36.34,27|12.29,1
36|11.12.20,12|36.11.12.20,1
12|36.12.20,0|12.36.12.20,1
12|36.12.20,36|12.36.12,1
12|36.12.20,37|12.36.12,1
12|36.12.20,28|12.36.12.20,1
12|11.18,1|12,1
12|11.18,6|12,1
12|11.18,25|12.11,1
12|11.18,36|12.11,1
12|11.18,37|12.11,2
9|12.37.3,28|9,1
12|37.18.12.29,28|12.37.18,1
12|37.12.11.13,37|12.37.12.11.13,17
12|37.12.11.13,36|12.37.12,2
12|37.12.11.13,31|12.37.12.11,2
12|37.12.11.13,7|12.37,1
12|37.12.11.13,13|12,1
32|12.3,2|32,1
32|12.3,37|32,1
12|30.10.12,37|12.30.10.12,9
12|30.10.12,30|12,1
12|30.10.12,4|12.30,3
12|30.10.12,36|12.30,1
12|30.10.12,8|12.30,1
12|30.10.12,25|12.30,1
12|30.10.12,5|12,1
31|9.32,36|31.9,1
13|12.37.27,25|13,1
19|12,15|19,4
19|12,21|19,2
19|12,36|19,29
19|12,18|19,2
19|12,13|19,1
19|12,25|19.12,1
19|12,0|19,2
19|12,6|19.12,8
19|12,12|19,33
19|12,9|19,3
19|12,23|19,1
19|12,20|19.12,1
19|12,29|19,3
19|12,11|19,2
19|12,37|19,40
19|12,28|19,1
30|10.27,4|30,2
30|10.27,23|30,1
29|25,37|29.25,1
29|25,1|29,58
29|25,31|29,1
29|25,12|29,3
29|25,36|29.25,2
29|25,15|29,2
0|36.21,36|0,2
0|36.21,37|0.36.21,2
27|12.37.27,3|27,1
37|34.28.22.36,12|37.34.28.22.36,1
15|12.37,22|15,1
15|12.37,12|15.12.37,1
15|12.37,0|15,138
15|12.37,19|15,3
15|12.37,21|15.12,51
15|12.37,9|,1
15|12.37,1|15,3
15|12.37,31|15,1
15|12.37,37|15.12,17
15|12.37,36|15.12,16
15|12.37,25|15,14
15|12.37,10|15,1
17|12.37.17,12|17,2
17|12.37.17,37|17,1
17|12.37.17,34|17,1
20|19.0,29|20,1
19|17,36|19.17,1
37|12.37.12.31,12|37.12.37.12.31,1
34|28,22|34.28,1
34|28,12|34.28,6
34|28,25|34,40
34|28,2|34,3
34|28,37|34,81
34|28,36|34,18
12|37.18.13,20|12.37,1
12|37.18.13,37|12.37.18,1
0|37,37|0,1
0|37,20|0.37,1
0|37,15|0.37,1
0|37,36|0.37,1
0|37,21|0.37,1
36|27.12.36,12|36.27.12.36,1
12|34.28,37|12.34.28,21
12|34.28,25|12.34,6
12|34.28,2|12.34,5
12|34.28,36|12.34,6
12|34.28,9|,1
12|34.28,8|12.34,2
28|22.34.32,26|28,1
34|37,22|34,1
34|37,36|34,1
12|37.12.37.12.37.27.24.3.12,4|12.37.12,1
12|37.12.37.12.37.27.24.3.12,10|12.37.12,10
12|37.12.37.12.37.27.24.3.12,37|12.37.12,14
17|32.12.32,36|17.32.12.32,1
23|32,10|23,1
23|32,29|23,1
12|37.4.12.33,0|12.37,1
36|4.10,30|36.4,1
37|12.37.5.12,12|37.12.37.5.12,1
12|9.12.37.12.6,9|12.9,1
12|9.12.37.12.6,11|12.9,1
12|13.11.36,13|12,1
37|17.30,12|37.17.30,1
37|13.12.36.6,12|37.13.12.36.6,1
36|12.36.20.36,13|36,1
17|25,37|17,6
17|25,22|17,1
17|25,12|17.25,1
17|25,32|17,34
17|25,34|17,1
36|29.12.37,9|36.29,1
36|29.12.37,15|36.29,1
