source,target,value
7|31,25|7,8
10|25,30|10.25,11
5|16,23|5.16,12
12|0,21|12,18
12|0,15|12,8
12|0,37|12,43
37|12.37.8,12|37.12.37.8,30
25|12.37.12.37.1,15|25,8
25|12.37.12.37.1,37|25.12,9
10|36,30|10.36,12
11|12.37,37|11,22
11|12.37,13|11.12,25
11|12.37,18|11,13
11|12.37,12|11.12.37,8
11|12.37,36|11,17
11|12.37,25|11,23
25|12.17,37|25.12,8
23|5.12,16|23,8
36|22,28|,8
31|7,12|31,12
9|36,37|9,18
37|26,12|37.26,46
37|12.37,5|,8
37|12.37,3|,8
37|12.37,12|37.12.37,59
18|25,37|18,19
17|32,12|17,65
17|32,36|17,46
17|32,25|17,87
17|32,37|17,147
25|24,37|25,9
37|3,12|37.3,28
37|15,12|37.15,33
12|13,25|12.13,12
12|13,11|12.13,8
12|13,36|12,12
12|13,37|12,45
28|22.36,37|28,9
36|34,22|36,19
36|34,12|36.34,22
36|29,12|36,45
36|29,1|36,10
12|37.5,8|,10
12|37.5,37|12.37,23
19|,6|19,9
19|,37|19,161
19|,20|19,185
19|,25|,17
19|,12|19,8
19|,36|19,14
6|20.25,19|6,23
6|20.25,37|6,13
25|12.36,37|25.12,65
25|12.36,32|25,9
25|12.36,36|25,19
25|12.36,12|25,27
15|36.0,21|15.36,16
10|4,30|,16
37|12.37.4,12|37.12.37.4,11
3|,36|3,11
3|,24|3,201
3|,12|3,14
3|,25|3,10
3|,27|3,8
3|,37|3,67
12|36.4,37|12.36,24
13|12.37.12.36,11|13,8
0|,12|0,18
0|,37|0,158
0|,20|,18
0|,25|,19
0|,11|,8
0|,19|,14
0|,15|0,48
0|,36|0,19
0|,1|,9
0|,18|,8
0|,21|,231
19|20,6|19.20,8
19|20,37|19,28
19|20,36|19,8
36|2,26|36,16
36|2,12|36,12
12|37.18,37|12.37,93
12|37.18,36|12,15
12|37.18,31|,11
12|37.18,25|12.37,13
12|37.18,9|,9
15|12.37.25,0|15,12
37|24,12|37.24,13
25|16,37|25,21
20|12.19,6|20.12,10
36|31,12|36.31,21
18|12.36,37|18,14
18|12.36,36|18,10
18|12.36,7|18,8
12|36.7,37|12.36,28
36|15,0|36.15,11
36|15,12|36,28
11|,12|11,39
11|,25|11,17
11|,0|,14
11|,36|11,45
11|,37|11,165
11|,13|,77
11|,18|11,9
0|36,36|0,11
0|36,37|0,10
0|36,21|0.36,9
20|6.19,12|20,10
20|6.19,37|20,23
37|12.37.12.37.13,12|37.12.37.12.37.13,14
36|0.25,15|36.0,9
20|12,12|20,28
20|12,37|20,45
20|12,36|20,25
20|12,6|20.12,15
20|12,19|20.12,8
25|11,37|25,38
25|11,36|25,17
25|11,12|25.11,12
12|36.9,25|12.36,11
12|36.9,37|12.36,71
12|36.9,36|12.36,22
12|36.9,9|,12
12|18,25|12,10
12|18,37|12,29
25|36,37|25,47
25|36,36|25,11
25|36,12|25,13
12|37.13,37|12.37.13,119
12|37.13,31|,19
12|37.13,13|,8
12|37.13,25|12.37,16
21|15.12,0|21,35
21|15.12,37|21,16
36|8,12|36.8,20
28|12,22|28,12
28|12,12|28,9
28|12,37|28,11
28|12,34|28,10
1|12,12|1,18
1|12,29|1,48
1|12,37|1,69
1|12,25|1.12,10
1|12,36|1,29
33|26.2.25,37|33,36
3|36,27|3,9
3|36,24|3,9
12|25.12.37.12.37,36|12,10
12|25.12.37.12.37,3|12.25,8
12|25.12.37.12.37,34|12,12
12|25.12.37.12.37,10|,9
12|25.12.37.12.37,37|12,19
12|36.17,37|12.36,44
