source,target,value
12|37.12.37.12.37,13|12.37.12.37.12.37,25
12|37.12.37.12.37,4|12.37.12,15
12|37.12.37.12.37,29|12,56
12|37.12.37.12.37,7|12.37.12.37.12,31
12|37.12.37.12.37,26|12.37,16
12|37.12.37.12.37,25|12.37.12.37,580
12|37.12.37.12.37,30|12,12
12|37.12.37.12.37,37|12.37.12.37,5985
12|37.12.37.12.37,9|,267
12|37.12.37.12.37,11|12.37.12.37,23
12|37.12.37.12.37,34|12,77
12|37.12.37.12.37,6|12.37.12,14
12|37.12.37.12.37,32|,110
12|37.12.37.12.37,36|12,704
12|37.12.37.12.37,33|12,16
12|37.12.37.12.37,8|,261
12|37.12.37.12.37,18|,55
12|37.12.37.12.37,3|,87
12|37.12.37.12.37,1|12.37,32
12|37.12.37.12.37,16|12,13
12|37.12.37.12.37,10|,85
12|37.12.37.12.37,2|12,104
12|37.12.37.12.37,31|,149
12|37.12.37.12.37,15|12,90
12|37.12.37.12.37,20|12,42
12|37.12.37.12.37,24|12,38
12|37.12.37.12.37,23|,34
12|37.12.37.12.37,5|12.37,9
12|37.12.37.12.37,0|12,58
12|37.12.37.12.37,19|12,71
12|37.12.37.12.37,22|12.37,80
12|37.12.37.12.37,17|12,28
12|28,37|12.28,33
37|12.37.27,12|37.12.37.27,70
28|34,37|28,16
28|34,22|28,12
31|25,12|31,14
12|36.1,37|12.36,29
12|37.12.36,36|12,231
12|37.12.36,7|,8
12|37.12.36,18|12.37.12.36,11
12|37.12.36,2|12,14
12|37.12.36,3|,20
12|37.12.36,37|12.37.12,1284
12|37.12.36,29|12,12
12|37.12.36,9|,54
12|37.12.36,10|,17
12|37.12.36,17|12,17
12|37.12.36,8|,56
12|37.12.36,31|,36
12|37.12.36,15|12,15
12|37.12.36,34|12,18
12|37.12.36,13|12.37.12.36,8
12|37.12.36,11|12.37,13
12|37.12.36,25|12.37,120
12|37.12.36,32|,32
12|37.12.36,20|12,9
12|37.12.36,0|12,14
12|37.12.36,19|12,16
12|37.12.36,22|12.37,17
23|8,5|23,9
2|36,26|2,16
25|17,12|25.17,23
25|17,37|25.17,51
25|17,36|25,14
7|12.31,37|7,15
7|12.31,18|7,12
7|12.31,25|7,12
19|36,20|19,8
19|36,37|19,23
11|12.37.12.37,13|11.12,9
11|12.37.12.37,36|11,8
11|12.37.12.37,12|11.12.37,9
37|12.37.4,12|37.12.37.4,11
36|24.12,3|36,8
36|22,28|,8
37|21,12|37.21,158
37|12.37.13,12|37.12.37.13,10
12|37.34,2|12,14
12|37.34,37|12.37.34,104
12|37.34,36|12,8
12|37.34,22|12.37,17
12|37.34,25|12.37,15
23|5.12,16|23,8
12|37.12.37.4,8|,11
12|37.12.37.4,37|12.37.12.37,56
12|36.13,37|12.36,23
12|36.13,11|12.36,8
12|4,25|12,8
12|4,37|12,42
37|12.37.16,12|37.12.37.16,28
24|3,27|,201
24|3,36|24.3,12
24|3,37|24,25
37|27,12|37.27,113
19|25,20|19,24
29|,15|,14
29|,1|,289
29|,36|29,10
29|,0|,11
29|,12|29,11
29|,25|29,13
29|,37|29,120
10|36,30|10.36,12
12|36.9,37|12.36,71
12|36.9,25|12.36,11
12|36.9,9|,12
12|36.9,36|12.36,22
36|,3|36,9
36|,22|36,10
36|,19|36,23
36|,6|36,12
36|,29|36,10
36|,33|36,8
36|,8|,26
36|,30|,21
36|,1|36,14
36|,26|36,13
36|,5|,9
36|,13|36,20
36|,24|36,8
36|,10|36,24
36|,9|36,18
36|,11|36,11
36|,28|,12
36|,34|,16
36|,25|36,47
