10|30,37|,24
36|8,12|,129
0|21,37|,35
0|21,12|0,13
3|25,24|3,51
22|25,28|,42
19|25,20|19,24
0|12,37|,68
0|12,21|,35
0|12,15|0,45
0|12,12|0,44
0|12,36|0,41
26|,25|,16
26|,33|,323
26|,37|,79
26|,36|26,12
26|,12|26,12
26|,2|26,10
12|29,37|,11
12|29,1|,29
31|7,12|31,12
7|18,37|,47
7|18,25|7,43
7|18,36|,33
7|18,12|7,34
23|25,5|23,26
15|25,21|15,11
15|25,0|15,31
11|9,18|,10
27|3,37|,22
27|3,24|27,34
5|23,37|,15
5|23,16|,145
22|34,28|,88
10|,37|,75
10|,25|,16
10|,12|10,14
10|,30|,372
10|,4|,19
10|,36|,17
6|19,37|,19
6|19,12|6,14
6|19,20|6,42
12|4,37|,42
1|36,37|,14
0|,37|,165
0|,25|,19
0|,19|,14
0|,12|0,18
0|,36|0,19
0|,21|,231
0|,15|0,48
0|,20|,18
25|18,37|,31
25|18,36|25,13
34|,37|,178
34|,36|34,19
34|,25|34,10
34|,22|34,88
34|,12|34,20
34|,28|34,12
32|36,17|32,18
36|30,12|,16
36|30,4|,12
2|33,26|,20
36|24,27|36,24
36|24,12|,16
36|24,3|,10
28|12,37|,11
28|12,34|28,10
28|12,22|28,12
36|19,20|36,14
36|19,12|,36
25|2,26|25,10
12|1,37|,55
12|1,29|,10
12|7,25|,17
12|7,37|,27
29|25,37|,19
29|25,1|,58
6|20,37|,126
6|20,36|6,36
6|20,12|6,50
6|20,19|6,50
6|20,25|6,30
25|16,37|,21
33|12,37|,25
33|12,12|33,16
33|12,2|33,17
33|12,26|33,12
25|13,37|,17
25|13,11|25,10
11|13,37|,58
11|13,25|11,53
11|13,36|,17
11|13,12|11,36
33|,37|,244
33|,12|33,10
33|,2|33,20
33|,26|33,10
33|,36|,45
33|,25|33,39
25|29,1|25,13
29|31,1|,12
25|17,37|,52
25|17,12|25,29
25|17,36|25,14
29|1,37|,37
29|1,36|29,13
29|1,12|29,11
16|25,37|,10
25|27,37|,29
32|25,17|32,58
18|25,37|,19
11|36,37|,11
22|,25|,12
22|,12|22,12
22|,28|,363
22|,34|22,12
22|,37|,40
22|,36|,15
11|25,37|,18
11|25,36|,10
11|25,13|11,18
36|26,33|,12
36|26,12|,12
12|20,37|,26
15|0,21|15,48
16|12,37|,28
16|12,5|16,16
20|36,6|20,15
2|36,26|,16
2|25,26|,63
31|25,12|31,14
30|4,10|30,10
12|,23|,171
12|,16|12,16
12|,29|,340
12|,26|12,18
12|,0|12,35
12|,5|,55
12|,19|,329
12|,1|,189
12|,32|,422
12|,33|12,17
12|,21|12,11
12|,10|,349
