source,target,value
25|7,36|25,18
25|7,37|,52
25|7,12|25,12
28|25,34|28,8
23|36,5|23,12
29|31,1|,12
19|20,6|19,18
19|20,36|19,8
19|20,37|,28
12|16,37|,24
11|,0|,14
11|,13|11,33
11|,12|11,9
11|,25|11,38
11|,18|11,8
11|,37|,168
11|,36|,75
4|36,37|,9
26|25,33|,15
29|25,37|,19
29|25,1|,58
6|20,25|6,30
6|20,19|6,50
6|20,12|6,50
6|20,37|,126
6|20,36|6,36
22|28,37|,12
22|28,34|22,8
0|21,12|0,13
0|21,37|,35
12|26,33|12,9
12|26,37|,12
19|36,20|19,8
19|36,37|,23
0|36,37|,10
0|36,36|0,11
0|36,21|,12
26|36,33|,13
29|1,12|29,11
29|1,37|,37
29|1,36|29,13
26|33,37|,14
26|33,2|26,10
12|1,37|,55
12|1,29|,10
2|36,26|,16
10|30,37|,24
3|36,24|3,9
3|36,27|3,9
25|2,26|25,10
7|36,25|7,8
12|7,25|,17
12|7,37|,27
12|10,37|,14
17|12,32|17,66
17|12,12|17,18
17|12,36|17,17
17|12,37|,35
36|1,12|,53
36|1,29|36,8
6|19,12|6,14
6|19,20|6,42
6|19,37|,19
6|19,36|6,9
20|36,36|20,9
20|36,6|20,15
20|36,37|,9
19|9,20|19,21
10|25,30|,51
9|8,37|,9
30|12,10|30,22
30|12,12|30,8
30|12,37|,29
30|12,4|,16
27|12,37|,20
22|25,28|,42
12|28,37|,33
15|0,21|,48
36|22,28|,8
36|29,12|,45
36|29,1|36,10
12|19,37|,34
12|19,20|,12
12|19,6|12,8
12|29,37|,11
12|29,1|,29
36|0,12|,53
36|0,21|36,19
36|0,15|36,21
36|32,12|,30
36|32,17|36,17
34|22,28|34,12
34|22,37|,9
25|8,37|,8
36|,23|36,12
36|,30|,21
36|,1|36,14
36|,4|36,9
36|,34|,16
36|,21|36,16
36|,11|36,11
36|,10|36,24
36|,15|36,25
36|,20|36,15
36|,19|36,23
36|,0|36,12
36|,26|36,13
36|,9|36,18
36|,25|36,47
36|,2|36,16
36|,31|,14
36|,3|36,9
36|,7|36,8
36|,33|36,8
36|,24|36,8
36|,5|,9
36|,22|36,10
36|,28|,12
36|,13|36,20
36|,18|36,9
36|,32|36,18
36|,29|36,16
36|,12|,3995
36|,17|36,10
36|,6|36,12
36|,27|36,18
36|,16|36,10
36|,8|,26
0|15,12|0,11
0|15,36|0,14
0|15,21|,166
0|15,37|,9
13|,0|,9
13|,11|13,8
13|,18|,11
13|,25|13,17
13|,37|,200
13|,12|13,45
13|,36|,64
32|,25|,20
32|,12|32,16
32|,28|,10
32|,17|32,147
32|,22|,9
32|,37|,137
32|,36|32,17
28|34,37|,16
28|34,22|28,12
17|32,12|17,65
17|32,36|17,46
17|32,37|,147
17|32,25|17,87
2|,12|2,14
2|,25|2,10
2|,26|,354
2|,36|2,16
2|,37|,53
2|,33|2,13
16|25,37|,10
25|16,37|,21
2|33,26|,20
36|34,12|,44
36|34,22|36,19
12|34,25|,11
12|34,22|,20
12|34,37|,43
12|34,28|12,8
12|34,36|,8
6|12,19|6,16
6|12,20|6,26
6|12,37|,23
6|12,36|6,10
33|2,26|33,12
33|2,37|,13
12|13,25|,19
12|13,11|,17
12|13,37|,45
12|13,36|,12
9|36,37|,18
13|11,25|13,8
13|11,12|13,18
13|11,37|,33
13|11,36|,12
20|6,36|20,9
20|6,12|20,13
20|6,19|20,24
20|6,37|,44
11|13,25|11,53
11|13,12|11,36
11|13,18|11,8
11|13,37|,58
11|13,36|,17
18|11,12|18,9
18|11,37|,8
18|11,36|18,9
15|36,21|,25
15|36,0|15,12
15|36,37|,8
15|36,36|15,11
4|,30|4,9
4|,25|4,28
4|,10|4,16
4|,12|4,42
4|,37|,163
4|,23|,8
4|,36|,40
36|17,12|,61
22|36,37|,10
22|36,28|,20
4|12,30|4,12
4|12,10|4,14
4|12,37|,20
4|12,12|4,13
15|25,0|15,31
15|25,21|,11
36|10,30|,8
3|,24|3,25
3|,25|3,10
3|,36|3,11
3|,27|3,22
3|,12|3,8
3|,37|,70
31|25,12|31,14
27|36,37|,18
25|1,29|25,10
25|1,37|,20
25|1,12|25,11
29|36,37|,10
29|36,1|,16
26|,25|,16
26|,36|26,12
26|,2|26,10
26|,12|26,9
26|,33|,323
26|,37|,79
13|36,12|13,9
13|36,37|,20
33|12,2|33,17
33|12,12|33,16
33|12,26|33,12
33|12,37|,25
34|25,36|34,10
34|25,12|34,12
34|25,28|34,12
34|25,37|,22
34|25,22|34,37
19|25,20|19,24
10|4,30|,16
3|24,37|,11
3|24,27|3,14
2|25,26|,63
36|20,12|,38
36|20,19|36,9
36|20,6|36,8
24|12,36|24,19
24|12,25|24,8
24|12,12|,9
24|12,3|24,23
24|12,37|,43
24|12,27|,28
12|20,37|,26
12|20,6|12,9
25|6,37|,17
12|21,25|,9
12|21,37|,53
12|21,0|12,9
17|,34|,8
17|,32|17,65
17|,12|17,65
17|,36|17,61
17|,37|,203
17|,25|17,52
12|5,37|,9
11|18,37|,16
11|18,36|,8
36|15,12|,28
36|15,0|36,13
36|8,12|,129
32|25,37|,8
32|25,17|32,58
11|25,13|11,18
11|25,37|,18
11|25,36|,10
26|12,2|26,18
26|12,12|26,11
26|12,33|,23
26|12,37|,15
12|4,25|,8
12|4,37|,42
31|7,12|31,12
36|18,12|,63
36|18,7|36,12
20|19,6|20,185
20|19,37|,8
25|10,30|25,8
6|25,20|6,21
30|,10|30,24
30|,25|30,10
30|,36|30,12
30|,12|30,22
30|,37|,123
30|,4|,252
16|12,37|,28
16|12,5|16,16
16|12,36|,9
12|3,24|12,14
12|3,37|,8
1|36,37|,14
36|24,12|,16
36|24,27|36,24
36|24,3|36,10
21|36,37|,16
29|,0|,11
29|,12|29,29
29|,15|,14
29|,1|,289
29|,36|29,10
29|,25|29,13
29|,37|,123
18|,11|18,16
18|,12|18,29
18|,17|,9
18|,37|,175
18|,31|,12
18|,0|,30
18|,7|18,47
18|,36|18,12
18|,13|,11
18|,32|,12
18|,25|18,31
23|25,5|23,26
12|11,25|,21
12|11,13|,9
12|11,37|,39
33|,2|33,20
33|,12|33,53
33|,3|,9
33|,26|33,14
33|,37|,244
33|,25|33,39
33|,36|,45
36|19,12|,36
36|19,20|36,14
30|4,10|30,10
30|4,37|,9
12|31,25|,46
12|31,18|,77
12|31,29|,39
12|31,1|,14
12|31,7|,45
12|31,37|,94
12|31,36|,23
33|25,37|,9
12|0,21|12,18
12|0,37|,43
12|0,15|,8
36|2,12|,12
36|2,26|36,16
22|,25|,12
22|,12|22,8
22|,28|,363
22|,34|22,9
22|,36|22,8
22|,37|,40
12|2,26|12,14
36|6,12|,43
36|6,19|36,10
23|,5|23,145
23|,12|,16
23|,37|,64
23|,16|23,26
23|,36|,21
12|6,25|,8
12|6,37|,45
16|36,37|,10
33|36,37|,8
11|36,37|,11
5|,16|,184
5|,12|5,9
5|,23|5,17
5|,37|,49
5|,36|,16
24|,36|24,10
24|,25|24,9
24|,12|,20
24|,3|24,11
24|,37|,114
24|,27|,243
12|33,37|,53
12|33,3|,10
18|31,7|18,20
18|36,37|,13
18|36,11|18,9
18|36,36|18,8
32|36,37|,8
32|36,17|32,18
36|30,12|,16
36|30,4|36,12
25|33,37|,39
1|,0|,13
1|,29|1,37
1|,12|1,55
1|,37|,291
1|,36|1,8
1|,25|1,20
34|,12|34,43
34|,25|34,35
34|,36|34,19
34|,28|34,16
34|,37|,178
34|,22|34,88
6|,12|6,45
6|,25|6,17
6|,19|6,44
6|,20|6,44
6|,37|,195
6|,36|6,10
12|30,37|,22
24|3,36|24,16
24|3,37|,25
24|3,27|,201
10|,36|10,8
10|,25|10,8
10|,30|,372
10|,12|10,14
10|,37|,75
10|,4|,19
10|,23|,8
25|24,37|,9
25|27,37|,29
12|8,25|,11
12|8,37|,66
12|8,36|,12
17|36,36|17,9
17|36,37|,10
2|26,37|,17
2|26,33|2,10
36|7,12|,46
36|7,25|36,8
24|25,37|,8
11|9,18|11,10
20|25,6|20,41
25|11,36|25,17
25|11,37|,38
25|11,12|25,21
7|18,25|7,43
7|18,36|7,33
7|18,12|7,34
7|18,37|,47
28|12,12|28,9
28|12,22|28,12
28|12,34|28,10
28|12,37|,11
8|,23|8,9
8|,25|8,8
8|,12|8,66
8|,32|,13
8|,36|8,129
8|,37|,678
8|,9|8,9
27|3,25|27,8
27|3,24|27,34
27|3,37|,22
27|3,36|,8
3|25,24|3,51
3|25,37|,9
9|,25|,20
9|,12|9,9
9|,11|9,10
9|,15|,8
9|,37|,615
9|,0|,16
9|,20|,17
9|,18|,17
9|,13|,8
9|,8|,13
9|,19|9,21
9|,36|9,9
25|3,24|25,10
5|23,36|,8
5|23,37|,15
5|23,16|,145
25|13,37|,17
25|13,11|25,10
37|,25|,12
37|,16|37,14
37|,15|,11
37|,19|,9
37|,3|,14
37|,22|,9
37|,23|,9
37|,2|,8
37|,20|,8
37|,18|,9
37|,12|,25819
37|,13|,9
37|,32|,10
37|,8|,11
37|,5|,15
25|34,36|25,8
25|34,22|25,10
25|34,12|25,15
25|34,37|,35
25|30,37|,10
20|,25|,18
20|,36|20,8
20|,6|20,126
20|,12|20,9
20|,19|20,18
20|,37|,135
10|36,30|,24
32|17,25|,9
32|17,12|32,18
32|17,36|32,13
32|17,37|,65
23|5,37|,17
23|5,16|23,14
12|27,37|,36
25|17,36|25,14
25|17,37|,52
25|17,12|25,29
5|16,23|5,13
23|8,5|23,9
25|21,37|,30
25|21,12|25,8
36|26,12|,12
36|26,33|36,12
15|21,37|,9
21|12,12|21,11
21|12,37|,32
21|12,0|21,9
25|29,1|25,13
19|,25|,17
19|,20|19,185
19|,12|19,8
19|,6|19,19
19|,36|19,14
19|,37|,162
31|,25|,21
31|,12|31,77
31|,7|31,8
31|,18|31,20
31|,37|,125
31|,29|31,12
31|,36|,47
17|25,32|17,34
36|9,12|,154
36|9,18|36,9
36|9,11|36,8
12|15,21|12,10
12|15,37|,11
12|15,0|12,18
24|36,36|24,8
18|7,37|,21
18|7,25|18,15
16|23,37|,26
1|25,29|1,16
1|25,37|,23
12|9,37|,82
12|9,18|,9
12|9,36|,19
8|25,37|,12
28|,25|,8
28|,12|28,33
28|,22|28,8
28|,34|28,81
28|,37|,146
28|,36|,44
15|,25|,17
15|,0|15,166
15|,21|,160
15|,6|,9
15|,19|,16
15|,12|15,18
15|,37|,84
15|,36|15,13
12|18,25|,10
12|18,37|,29
30|25,10|30,8
30|25,37|,8
19|6,12|19,14
19|6,37|,44
36|3,12|,9
36|3,24|36,11
25|4,36|25,8
25|4,37|,28
25|4,12|25,11
16|,25|16,21
16|,5|16,13
16|,12|16,24
16|,37|,200
16|,23|,15
16|,36|,35
12|17,25|,11
12|17,32|,9
12|17,37|,65
21|,25|21,30
21|,15|21,9
21|,0|21,35
21|,19|,8
21|,37|,237
21|,12|21,9
21|,36|,56
12|,9|,1051
12|,33|12,25
12|,15|,347
12|,16|12,28
12|,37|,19292
12|,11|,235
12|,10|,349
12|,34|,226
12|,22|,256
12|,20|,186
12|,1|,189
12|,31|,522
12|,26|12,23
12|,6|12,23
12|,25|,2156
12|,18|,431
12|,24|12,43
12|,4|12,20
12|,5|,55
12|,19|,329
12|,28|12,10
12|,7|,184
12|,23|,171
12|,36|,2780
12|,21|12,9
12|,27|12,20
12|,0|12,45
12|,3|,314
12|,30|12,29
12|,13|,407
12|,32|,422
12|,8|,984
12|,17|12,35
12|,2|,329
12|,29|,340
16|37,37|,14
22|34,28|,88
25|,16|25,10
25|,9|,12
25|,28|25,8
25|,24|25,8
25|,37|,1146
25|,26|25,15
25|,29|25,58
25|,23|25,26
25|,4|,18
25|,33|25,9
25|,11|25,18
25|,17|25,34
25|,31|25,14
25|,5|,10
25|,1|25,23
25|,8|25,12
25|,10|25,51
25|,34|25,22
25|,30|25,8
25|,22|25,42
25|,6|25,21
25|,21|,11
25|,3|25,9
25|,32|25,58
25|,7|,19
25|,20|25,41
25|,0|,62
25|,19|25,24
25|,12|25,12
25|,36|25,11
25|,13|,65
25|,2|25,63
25|,15|25,31
25|,18|25,19
12|22,28|12,12
12|22,37|,8
24|27,25|24,8
24|27,37|,25
7|31,25|7,8
6|36,37|,12
7|,25|7,52
7|,31|7,12
7|,12|7,27
7|,18|7,21
7|,37|,116
7|,36|7,8
27|,25|27,29
27|,24|27,25
27|,3|,11
27|,12|27,36
27|,37|,203
27|,36|,42
0|,25|,19
0|,18|,8
0|,12|0,8
0|,11|,8
0|,19|,14
0|,37|,165
0|,20|,18
0|,1|,9
0|,21|,231
0|,15|0,48
0|,36|0,21
12|32,17|12,16
12|32,37|,38
12|25,25|,9
12|25,9|,8
12|25,10|,17
12|25,0|12,8
12|25,15|,12
12|25,34|,18
12|25,37|,194
12|25,19|,11
12|25,11|,11
12|25,23|,9
12|25,36|,49
12|25,29|,21
12|25,18|,12
12|25,3|,12
12|25,13|,21
12|25,31|,12
12|25,2|,11
0|12,25|,9
0|12,12|0,44
0|12,36|0,41
0|12,15|0,45
0|12,21|,35
0|12,37|,68
25|18,36|25,13
25|18,37|,31
36|25,12|,275
36|25,13|36,11
34|28,25|34,40
34|28,36|34,18
34|28,12|34,41
34|28,37|,81
25|36,36|25,11
25|36,37|,47
25|36,12|25,13
18|25,37|,19
