194,259
194,42
194,111
179,248
51,132
72,95
442,90
442,251
89,10
89,29
175,195
175,29
175,10
118,385
54,39
339,477
339,32
94,56
237,424
237,202
237,278
315,153
315,481
148,457
311,108
311,77
311,260
2,213
2,73
229,194
229,236
229,291
395,55
395,199
285,363
285,215
212,43
313,166
220,90
220,251
235,117
91,404
91,401
484,326
484,214
484,373
481,55
388,128
377,79
377,386
5,424
107,477
107,490
107,118
139,116
139,430
32,368
431,459
43,95
6,439
6,412
6,487
6,370
6,301
6,491
336,477
336,53
336,211
336,200
336,106
336,233
336,452
336,252
336,137
336,215
336,279
336,383
336,138
336,32
336,289
336,6
336,490
336,326
336,387
336,255
336,343
336,88
336,311
336,328
336,253
336,330
336,52
336,433
336,121
336,495
336,26
336,246
336,263
336,196
336,171
130,20
130,327
130,473
85,475
66,397
187,116
131,314
424,203
473,143
473,211
473,330
473,30
473,371
473,366
473,301
473,433
185,267
185,275
205,305
71,60
71,436
71,95
273,289
273,363
273,328
273,477
330,102
330,88
330,469
330,301
330,490
330,472
443,387
443,473
443,30
443,20
443,85
443,338
406,147
406,270
406,336
435,477
435,116
435,490
52,332
52,142
52,304
52,64
348,152
348,434
254,221
83,427
83,60
83,318
83,436
83,30
83,95
482,105
378,488
170,425
349,488
127,90
127,251
314,184
373,27
188,274
188,254
414,0
414,29
414,16
305,116
305,477
305,330
201,344
201,477
201,330
110,420
289,295
289,483
289,433
289,149
289,388
289,328
289,453
289,409
289,190
405,363
24,106
24,179
168,438
209,131
233,186
233,147
233,478
233,307
233,336
233,301
448,90
448,251
391,187
239,40
239,175
239,277
239,106
239,177
239,322
239,252
239,296
239,444
239,91
239,264
239,157
239,383
239,138
239,289
239,6
239,356
239,490
239,376
239,88
239,328
239,253
239,263
239,406
239,330
239,52
239,25
239,433
239,121
239,495
239,283
239,196
70,125
70,207
70,137
70,89
70,185
70,490
70,447
70,116
70,454
70,173
70,329
70,330
70,96
70,9
70,477
70,495
70,158
70,456
70,86
70,288
14,284
14,437
318,32
450,485
258,176
498,363
417,424
417,2
417,258
386,387
58,194
58,291
20,79
20,238
440,259
396,439
396,437
396,491
396,370
319,286
430,331
383,424
383,331
383,202
383,2
18,116
18,477
18,330
287,291
453,404
453,103
453,127
453,191
154,254
115,251
155,210
155,36
155,134
155,226
155,58
155,279
155,66
155,312
155,243
155,336
155,308
155,7
155,100
155,402
155,90
155,251
155,68
155,222
155,272
155,390
155,123
155,392
155,461
155,466
150,320
425,482
425,138
308,364
308,55
308,101
308,34
308,110
240,257
193,238
293,32
470,435
420,3
204,289
204,6
204,490
204,449
204,376
204,406
204,138
204,253
204,263
204,330
204,477
204,407
204,325
204,25
204,99
204,246
204,196
204,442
335,333
328,160
