Id,modularity_class
13|,0
18|,0
37|,0
11|,0
36|,0
25|,0
12|,0
30|,1
10|,1
4|,0
19|,2
6|,2
20|,2
8|,0
32|,0
9|,0
23|,0
24|,3
3|,3
27|,0
26|,4
2|,4
33|,0
29|,0
15|,0
0|,0
1|,0
21|,0
28|,5
22|,5
34|,0
7|,0
31|,0
5|,0
16|,0
17|,0
