sequence,Gephi,KMeans_15D,KMeans_2D
12|36.20,7,10,10
12|36.25,10,1,10
29|36,3,10,10
36|11,6,10,10
27|12,9,10,7
25|4,10,7,10
37|15,5,4,3
12|37.19,10,3,2
12|37.6,10,3,2
18|,6,3,2
11|,6,10,1
11|25,6,10,10
4|12.37,0,7,8
25|36,10,10,10
2|25,11,9,4
36|4,0,7,8
12|22,4,2,5
11|9,6,3,0
37|21,5,4,11
3|25,9,0,7
12|37.18,10,1,4
18|12.36,6,5,11
36|3,9,0,7
32|36,2,10,11
37|11,6,7,2
12|37.0,10,4,3
37|24,9,0,7
2|36,2,9,4
0|12.36,5,5,3
12|36.33,2,9,4
12|36.13,6,10,10
12|20,7,10,2
12|25.17,10,10,11
25|12.36,10,5,11
12|37.9,10,3,10
24|27,9,0,7
18|12.31,3,1,0
12|37.34,10,2,5
27|3.12,9,0,7
10|30,0,7,8
23|36,8,10,6
2|12,2,9,4
34|22,4,2,5
37|20,7,3,2
22|,4,10,1
12|34.28,11,2,5
20|36,7,3,2
12|37.23,10,10,6
12|34,10,2,5
1|12.29,1,10,9
26|2.25,11,9,4
7|,3,1,0
1|29.25,1,10,9
6|19.12,7,3,2
30|10.25,0,7,8
15|36.0,5,4,3
6|12,7,10,1
12|7,10,1,0
12|36.0,5,4,3
11|12,6,10,10
22|12,9,2,5
16|,8,10,6
25|,11,5,2
12|36.34,4,2,5
36|24.3,9,5,7
12|36.6,7,3,2
36|15,5,4,3
36|1,1,8,9
29|31,3,1,9
19|36,7,3,2
20|19,7,3,2
20|6,7,3,2
12|37.15,5,4,3
34|25,4,2,5
8|36,11,10,10
36|27,10,0,7
10|36,0,7,8
5|16,8,10,6
11|12.36,5,5,11
10|25,11,7,8
30|12,0,7,8
21|,5,4,3
36|8,10,5,11
12|1,10,8,9
33|,2,9,4
37|33,2,9,4
27|24.12,9,0,7
37|2,2,9,4
24|12,9,0,7
