sequence,Gephi,KMeans_15D,KMeans_2D
12|37.24,5,7,4
13|,10,4,12
2|,2,0,9
12|37.3,5,7,4
12|37.12.17,3,1,6
12|36.0,0,4,3
30|4,11,0,1
11|12,10,4,12
36|29,7,5,5
15|,6,0,3
20|12.19,12,11,0
12|33,2,6,10
6|20.12,12,11,0
26|25,2,6,10
18|36,0,11,9
1|29.12.31,8,5,5
12|36.29,7,5,5
12|37.27,3,7,4
21|15.12,6,2,3
12|36,0,0,1
37|12.37.27,3,7,4
36|28,13,4,11
37|0,6,2,3
37|25,10,4,0
12|36.17,4,1,11
12|36.12,4,1,6
12|37.12.37.24,5,7,4
12|36.31,8,4,5
37|12.37.1,3,6,7
12|2,2,0,10
32|,4,1,8
37|5,1,13,2
12|37.12.37.20,3,11,13
21|36,6,2,3
12|37.12.37.0,3,2,3
12|37.12.37.4,3,0,10
12|37.1,3,5,5
37|6,12,8,0
23|5.16,1,13,2
36|12.36,0,4,11
12|37.13,10,3,12
0|12.36,6,0,3
9|,0,8,0
12|8,9,13,2
22|12.34,13,9,7
25|3,5,7,4
22|,13,0,9
0|,6,2,3
24|3.25,5,7,4
2|26,3,6,8
32|17,4,1,8
12|36.12.36,0,4,11
17|32,4,1,6
12|37.32,3,1,8
22|28,13,9,7
4|30.10.25,11,0,10
20|19.25,12,1,11
12|18,9,0,1
37|12.9,3,11,0
12|36.20,9,4,11
33|2.12,2,6,8
12|36.1,7,4,11
11|36,0,0,9
25|17,9,1,6
6|,12,0,9
28|22.34,13,9,7
18|7,8,4,9
21|0.12,6,2,3
1|12.37,7,5,5
36|16,1,13,2
10|4,11,0,1
27|,5,7,4
34|12,10,9,9
37|12,9,0,1
2|33,2,0,10
37|12.37.21,12,2,3
12|36.28,13,4,11
37|12.37.20,3,11,13
28|22.25,13,9,7
6|20,12,8,0
32|12.36,4,0,9
15|36,6,2,3
37|1,7,5,5
36|21,6,4,3
13|36,10,3,12
12|4,11,0,1
28|34,13,9,7
12|37.12.36,8,4,11
37|12.36,0,4,11
25|11.12,10,4,9
25|29,7,5,5
13|12.25,10,3,12
12|36.16,1,13,2
30|10.36,11,0,1
25|33,10,6,10
36|12,3,4,9
36|25,2,3,12
1|36,7,5,5
34|,13,0,9
12|36.25,0,4,11
29|36,8,5,9
8|36,2,13,2
36|11,0,4,11
27|12,5,0,9
25|4,10,0,1
37|15,6,2,3
12|37.19,12,11,13
12|37.6,12,8,0
30|10.12.36,11,0,1
25|18,0,4,12
37|24,5,7,4
12|37.34,3,9,7
11|,0,0,9
11|25,10,0,12
22|12,3,9,7
25|36,10,4,9
2|25,2,0,10
36|4,11,0,1
33|12.37.12,2,0,1
20|25,2,0,0
12|22,13,9,7
11|9,0,8,9
37|21,6,2,3
3|25,5,0,4
12|37.18,3,8,1
18|12.36,0,0,9
36|3,5,7,4
32|36,4,1,6
4|12.37,11,0,1
37|11,0,0,9
12|37.0,3,2,3
12|6,12,8,0
2|36,4,6,10
25|34,9,0,1
12|36.33,2,6,10
12|36.13,10,4,11
16|25,7,0,2
12|25.17,9,0,6
30|,11,0,1
24|27,5,7,4
18|12.31,8,5,5
37|10,11,0,11
10|25,2,0,10
27|3.12,5,7,4
10|30,11,0,11
23|36,1,0,2
2|12,2,6,8
34|22,13,9,7
11|25.12.37,10,3,12
37|20,9,11,13
36|13,10,4,11
12|34.28,9,9,7
37|12.37.17,4,1,6
20|36,12,11,9
12|37.23,3,13,2
27|24.3.25,5,7,4
12|34,13,9,7
37|12.21,6,2,3
26|2.25,2,0,10
7|,8,4,5
1|29.25,7,5,5
20|12,9,11,11
26|36,4,6,10
8|,3,13,2
6|12,5,0,9
12|7,10,4,11
7|18,8,4,11
12|21,6,2,3
1|25,7,5,5
16|,1,13,2
25|,2,0,5
37|22,13,9,7
12|36.34,0,4,11
36|24.3,5,7,4
12|37.12,2,0,1
12|16,1,0,2
36|15,6,2,3
36|1,7,4,11
29|31,8,5,9
19|36,4,11,13
20|19,12,8,0
20|6,12,11,13
12|37.15,6,2,3
19|12.37.21,12,2,3
34|25,13,9,7
12|37.5,3,13,2
36|27,5,7,4
10|36,11,0,1
36|,4,7,4
5|16,1,13,2
11|12.36,0,0,9
10|12.36,11,0,1
12|37.12.33,2,6,10
15|12.37.25,6,2,3
37|12.37.23,3,13,2
12|13.12.37,10,4,12
21|,6,2,3
36|8,3,13,2
12|1,7,5,5
33|,2,6,10
37|33,2,0,1
27|24.12,5,7,4
24|12,5,7,4
