Id,Label,timeset,modularity_class
33|32,33|32,,6
18|40.18.2,18|40.18.2,,5
25|18.14,25|18.14,,10
36|13,36|13,,11
8|,8|,,12
32|18.40,32|18.40,,6
18|38,18|38,,8
1|,1|,,2
12|28,12|28,,8
30|6.36,30|6.36,,1
14|25.18,14|25.18,,4
18|39,18|39,,9
9|36,9|36,,3
14|29,14|29,,8
40|,40|,,6
40|18.11,40|18.11,,7
29|18,29|18,,13
40|18.12,40|18.12,,3
12|36,12|36,,8
18|9,18|9,,10
20|,20|,,0
21|20.29,21|20.29,,13
18|22,18|22,,6
20|36,20|36,,0
40|18.1,40|18.1,,2
33|40,33|40,,6
5|25,5|25,,4
2|6,2|6,,1
20|14,20|14,,0
18|30.6.2,18|30.6.2,,8
13|14,13|14,,11
36|12,36|12,,8
39|28,39|28,,3
15|13.18,15|13.18,,10
7|,7|,,12
9|,9|,,8
38|18,38|18,,8
38|21,38|21,,7
19|18,19|18,,12
18|40.18.1,18|40.18.1,,2
18|28,18|28,,6
22|18,22|18,,2
14|18,14|18,,3
36|18,36|18,,9
36|32,36|32,,6
37|21,37|21,,7
18|40.18.14,18|40.18.14,,10
36|23,36|23,,6
18|40.18.5.36,18|40.18.5.36,,8
33|36,33|36,,6
21|11,21|11,,7
36|15,36|15,,11
18|40,18|40,,6
32|,32|,,6
9|28.14,9|28.14,,3
9|28.12,9|28.12,,3
28|14,28|14,,3
40|18.9.12,40|18.9.12,,8
40|28,40|28,,3
18|40.18.2.18,18|40.18.2.18,,5
33|,33|,,6
14|18.40,14|18.40,,11
33|23,33|23,,6
9|28,9|28,,3
18|9.36,18|9.36,,8
29|20.21.14,29|20.21.14,,5
39|6,39|6,,1
23|32,23|32,,6
6|30,6|30,,1
18|40.18.11,18|40.18.11,,7
18|24,18|24,,6
18|5.25,18|5.25,,4
18|3,18|3,,12
12|18.40,12|18.40,,3
25|18,25|18,,4
38|9,38|9,,8
39|,39|,,9
26|18,26|18,,12
40|18.14,40|18.14,,10
21|36,21|36,,7
40|18.25,40|18.25,,4
37|6,37|6,,1
40|9,40|9,,8
20|29.14,20|29.14,,13
