sequence,Gephi,KMeans_15D,KMeans_2D
5|14,1,0,2
26|16.18,10,0,2
37|25,11,0,2
18|3.5,15,0,2
6|18,6,1,0
7|37,7,0,2
33|4.21,14,2,3
37|28,11,0,3
22|36.9,3,2,3
37|15,7,0,2
18|36.21,6,3,1
4|18.36,14,3,1
18|7,15,0,2
18|36.16,11,2,3
23|24,10,3,2
10|18,2,1,0
36|7,0,0,2
16|36,10,0,2
18|37.33,14,3,1
18|36.14,0,3,1
0|18.37.32,13,2,0
18|37.7,7,3,1
12|18.37,8,1,0
18|37.3,1,3,1
17|18.36,5,3,1
18|36.2,2,3,1
18|34,15,0,2
12|24,8,3,2
18|37.18.37.16,10,3,3
18|36.7,0,0,1
36|18.37.19,0,2,0
18|11,15,0,2
37|16,10,0,3
2|36.24,2,0,2
18|36.18.37.19,0,3,1
37|18.37.28.27,8,2,0
18|36.19,0,3,1
23|18.36.18,10,0,2
36|6.34,5,3,1
16|23.18,10,0,2
36|6,6,3,1
21|33,6,0,2
10|5,2,0,2
27|28,11,0,2
14|24,2,3,2
18|0,15,0,2
18|37.30,12,3,1
18|36.26,0,0,2
37|18.37.31,5,2,3
18|37.8,12,3,1
18|36.20,0,0,1
36|34,0,0,3
18|30.8,15,0,0
37|18.37.19,4,2,0
34|24.18,6,3,3
12|36,8,3,1
13|18.37,12,1,0
3|18,1,1,2
7|24,7,3,1
37|2,2,0,3
36|30.24,12,2,0
7|,7,0,3
15|18.36,7,3,1
33|4.36,14,2,0
0|11,13,0,2
36|28,0,0,2
18|37.10,2,3,1
9|24,3,3,2
30|8,12,0,3
10|18.36.18,2,0,2
4|18,14,1,0
22|,3,3,1
4|36,14,3,1
5|18.36.18,1,0,2
26|16.23,10,2,3
31|18.36,5,3,1
36|30,12,0,2
37|18.37.18.37.16,4,2,0
33|36.21,14,2,3
18|24.22,15,0,0
18|37.20,13,3,1
18|37.34,6,3,1
18|36.5,0,3,1
10|36.2,2,2,3
10|2.18,2,0,3
15|25,7,0,2
18|37.28,11,3,1
27|24,8,3,1
37|26,10,0,3
37|8,12,0,3
16|18.36,10,3,1
18|2.18.37,9,0,2
25|,7,1,2
9|22,3,0,3
23|36,10,3,1
3|5.18.14,1,2,3
27|18.37,11,3,2
37|18.37.22,3,2,0
31|,5,3,2
6|24.18.37.18,6,0,2
3|36,1,3,1
18|37.28.27,8,3,1
2|18,2,3,2
24|30,9,3,2
27|36,8,0,2
15|,7,1,0
22|9.36,3,2,0
2|18.37.18.37.18.37,2,0,2
36|26,10,0,3
37|7,7,0,3
18|37.5,1,3,1
36|9.22,0,2,3
36|2.18.37,2,0,2
5|18.37.18.37.18.37,1,0,2
36|19,0,3,3
34|36,6,3,1
24|20,9,0,2
2|36,2,3,1
24|10,9,3,2
18|8,15,0,0
37|10,2,0,3
18|5,15,0,2
8|13.24,12,2,0
21|36.4,14,2,3
17|36,5,3,1
37|11,13,0,2
13|18.36,12,3,1
18|10.2.18,9,0,2
31|32,5,2,3
12|18.36,8,3,1
22|18,3,1,2
18|36.32,0,0,1
6|,6,0,3
30|36,12,3,2
18|36.6.18,6,0,2
8|13.30,12,2,3
7|18,7,1,0
20|18.37,13,3,2
36|31.17,5,2,0
0|20,13,0,3
2|18.36.18.37.18,2,0,2
13|30,12,0,2
31|18,5,1,0
6|18.36,6,3,1
28|18.37.18,11,3,2
27|,8,3,2
37|18.37.18.37.32,13,2,3
37|24.22,9,2,3
18|36.18.37.29,0,3,1
36|23,10,0,3
13|36.30,12,2,3
6|14,6,0,2
26|18,10,1,0
8|13.18.36,12,2,0
18|37.18.37.19,4,3,3
16|26.36,10,2,0
18|36.29,0,3,1
36|4,14,0,3
36|10,0,0,3
36|4.36.21,14,2,3
9|18.36,3,3,1
36|21.36.4,14,2,3
21|18.36,6,3,1
18|30,15,3,1
37|18.32,13,2,3
18|23,15,0,2
33|18,14,3,2
24|18.36,9,3,2
37|33,14,0,3
36|23.36,0,2,0
18|32,13,2,3
37|19,4,0,3
37|18.37.18.37.2,2,2,0
13|36,12,3,1
36|3,0,0,3
18|36.30,12,0,1
23|18,10,1,2
3|5,1,0,3
24|33,9,0,2
12|18,8,3,2
37|29,0,3,3
13|18.30,12,2,0
31|17.24,5,2,0
17|31,5,0,2
13|,12,3,2
18|33,15,0,0
32|,5,0,3
36|27,11,3,1
8|18,11,3,2
37|0,13,0,3
4|36.21,14,2,3
11|18.37.18,13,3,2
18|28,15,0,0
18|37.18.37.2,2,3,3
18|36.9,0,0,1
36|11,13,0,2
0|36,13,3,1
36|25.15,7,2,0
24|18.2,9,0,2
37|31,5,0,3
36|17,5,3,3
36|14,0,0,3
26|,10,3,1
18|2,2,3,1
36|13,12,3,1
5|18.14,1,2,0
17|,5,3,2
13|8,11,0,2
37|34,6,0,3
34|24,6,3,1
10|,2,1,0
36|2,2,0,3
3|18.37.18.37,9,3,2
37|20,13,0,2
0|18.36,13,3,1
23|36.16,10,2,3
26|24,10,3,1
36|5.18.14,1,2,0
24|22,9,0,2
36|5,0,0,3
33|,14,0,2
25|18.37,7,3,2
24|3,1,0,3
6|24,6,3,2
26|23,10,0,3
6|36,6,3,1
30|,12,0,3
26|36.23,10,2,3
24|18.37.18.37.24,9,0,2
34|6.36,6,2,0
23|18.37.33,10,2,0
3|18.14,1,2,0
24|5,9,3,3
18|36.24,9,3,1
26|36.18,10,3,1
22|18.37.18.37,3,3,2
37|32,5,0,3
37|18.14,11,2,0
16|26.24.18,10,2,0
26|24.18,10,3,3
22|9.24,3,2,0
16|23,10,0,0
16|18,10,3,2
36|31,5,3,3
28|27,8,0,3
12|,8,3,2
36|33,0,0,2
23|26.16,10,2,3
36|12,8,3,3
18|36.23,0,0,1
10|2,9,3,2
18|37.18.37.22,3,0,3
9|18.37.29,3,2,0
18|36.18.37.18,0,1,0
30|24,12,3,2
0|,13,1,0
37|18.36.16,11,2,0
18|36.18,0,1,0
36|0,13,3,3
28|,11,1,2
14|18.36,11,3,1
20|,13,1,0
22|9.18.36,3,2,0
37|18.37.18.37.34,4,2,0
33|36.4,14,2,3
18|37.32,5,3,1
11|0.24,13,2,0
23|29,10,3,3
4|,14,3,2
36|8,0,0,0
11|,13,1,0
3|,1,1,0
24|36,9,1,0
4|21,14,0,3
14|,2,1,0
18|37.18.37,11,1,0
37|24,9,1,0
18|21,15,3,3
37|23,10,0,3
9|,3,1,0
36|15,7,3,3
24|34,9,0,2
26|16,10,0,2
18|37.19,4,3,1
37|4,14,0,3
37|28.27,8,2,0
11|36,13,3,2
21|4,14,0,3
36|24,9,1,0
2|18.37,2,1,0
37|18.37.18.37.30,12,2,3
23|,10,3,1
36|6.24,6,2,0
8|,12,3,2
28|12.18,11,0,0
12|28,8,0,2
4|18.37.18.37.34,14,2,3
34|18.37,6,3,2
18|37.22,3,3,1
34|,6,1,0
37|13,11,0,2
36|32,0,2,0
17|18.37.24,5,0,2
2|,2,0,3
18|37.29,0,3,1
16|26,10,0,2
36|21,6,0,3
36|,5,1,0
36|30.8,12,2,0
14|18.37.24,2,0,2
36|29,0,3,3
33|21,14,0,2
24|18,9,1,0
28|27.36,8,2,0
18|37.18.37.18.37,4,1,0
6|34,6,0,3
37|18.37,11,1,0
18|37.18,15,1,0
16|,10,0,0
37|,6,1,0
24|18.37.18,9,1,0
18|24.18.37.18.37,15,0,2
5|3.18,9,0,2
28|27.12.24,8,2,3
27|12,8,3,2
18|14,2,3,1
18|37,6,1,0
18|14.18.36,11,2,0
31|36.17,5,2,0
6|18.37.24,6,0,2
18|37.18.37.34,6,0,3
37|5,1,0,3
32|18,5,3,2
24|18.37.24,9,0,2
36|18.37.18,0,1,0
36|16.26.24,10,2,3
24|,9,1,0
18|29,15,3,1
18|19,15,3,1
23|18.37.18,10,3,2
5|18.37.18.36,1,0,2
18|,9,1,0
16|26.24,10,2,0
21|,6,1,0
18|37.18.37.33,4,0,2
19|,4,1,0
24|18.37.18.37,9,1,0
29|,0,1,0
18|36,5,1,0
37|18.37.24,9,0,2
37|18,15,1,2
18|37.18.37.24,9,3,1
18|37.24.22,9,2,3
36|18,0,1,0
18|37.24,9,1,0
5|,1,1,0
37|18.36,0,1,0
18|37.18.36,0,1,0
18|37.18.37.30,12,2,3
37|18.37.18.37,4,3,2
