source,target,value
22|18,36|22,0.1818181818
22|18,8|22,0.3037974684
22|18,18|22.18,0.1724137931
22|18,1|22,0.4727272727
22|18,1|,1
10|34.18,7|10,1
33|40,18|33,1
27|18.40.18.8,14|27,0.4545454545
27|18.40.18.8,1|27.18.40,0.5454545455
0|27,18|0,1
18|29,36|18,0.1056910569
18|29,40|18.29,1
18|29,100|,0.3469387755
18|36,12|18,0.0794701987
18|36,21|18.36,1
18|36,25|18,0.25
18|36,26|18,0.2830188679
18|36,1|18.36,1
18|36,9|18,0.303030303
18|36,100|,0.5666666667
18|36,14|18,0.1833333333
18|36,24|18,1
18|36,4|18,0.4
18|36,0|18.36,1
18|36,8|,0.0982142857
18|36,14|18.36,1
18|36,27|,0.0982142857
18|36,34|18,0.4571428571
18|36,29|18,0.0794701987
18|36,8|18,0.0982142857
18|36,20|18,0.0662251656
18|36,27|18,0.0982142857
18|36,28|18,0.196969697
18|36,5|18,0.1818181818
18|36,11|,0.357615894
18|36,34|,0.4571428571
18|36,22|18,0.0892857143
18|36,0|,0.1517857143
18|36,24|,1
26|19,18|26,1
26|19,100|,0.4838709677
37|31,31|,1
18|40.18.14.18.40,4|18,1
18|40.18.14.18.40,26|18,1
18|40.18.14.18.40,100|,1
40|18.9.18,18|40.18.9.18,1
17|31,4|17,0.56
17|31,18|17,1
17|31,100|,0.44
18|40.18.12.18,100|,1
40|12,12|,1
37|27,27|,1
29|20.36,100|,1
9|12.28.14,100|,1
21|,40|21,1
21|,38|21,1
21|,39|21,1
21|,36|21,1
21|,29|21,0.2
21|,18|21,1
21|,20|21,0.3
21|,14|21,1
21|,37|21,1
21|,100|,0.2045152722
36|,12|,0.0594795539
36|,5|36,0.4088669951
36|,9|36,0.2886597938
36|,10|36,0.6346153846
36|,22|36,1
36|,7|36,0.34375
36|,26|,0.0651162791
36|,32|,0.0465116279
36|,13|,0.0790697674
36|,30|,0.1111111111
36|,3|36,1
36|,6|36,1
36|,31|36,1
36|,1|36,1
36|,17|36,1
36|,29|36,1
36|,28|,0.0446096654
36|,18|36,0.3694581281
36|,28|36,1
36|,21|36,1
36|,1|,0.0744186047
36|,2|,0.0802469136
36|,33|36,1
36|,12|36,0.7435897436
36|,27|36,1
36|,14|,0.0985221675
36|,20|36,1
36|,34|,0.0643776824
36|,8|36,1
36|,4|,0.0588235294
36|,19|36,1
36|,25|36,1
36|,15|,0.3278688525
36|,11|,0.0303687636
36|,23|,0.0511627907
39|22,22|,1
36|25,25|36,1
5|25.18,100|,1
8|18,18|8,1
39|11,11|,1
40|4,4|,1
18|40.18.22.8,0|18.40,0.3333333333
18|40.18.22.8,14|18.40,0.1666666667
18|40.18.22.8,1|18,0.3484848485
18|40.18.22.8,27|18.40,0.1515151515
14|25.18,5|,1
12|36,18|12,1
12|36,9|12,0.7435897436
12|36,100|,0.2564102564
12|18.40,18|12,1
9|,14|9,0.6984126984
9|,100|,0.4311294766
9|,18|9,0.1336088154
9|,38|9,1
9|,36|9,0.1157024793
9|,39|9,1
9|,37|9,0.0179063361
9|,40|9,1
9|,12|9,0.1115702479
9|,28|9,1
36|27,27|36,1
18|40.18.19,3|18,0.4545454545
18|40.18.19,100|,0.5454545455
27|1.18.0,14|27,1
40|23,23|40,1
12|,5|,0.0403458213
12|,9|12,0.4619640387
12|,28|12,0.1286307054
12|,14|,0.0414937759
12|,1|,0.0403458213
12|,36|12,0.0733056708
12|,100|,0.1341632089
12|,22|,0.0317002882
12|,40|12,1
12|,37|12,1
12|,39|12,1
12|,21|,0.0576368876
12|,20|,0.0634005764
12|,18|12,1
18|1,14|18,0.1369863014
18|1,100|,0.1780821918
18|1,40|18.1,1
18|1,40|,1
18|1,39|18,0.1481481481
18|40.18.33,100|,1
14|26,19|,1
29|20.21.14,100|,1
18|33,40|,1
18|33,40|18.33,1
18|33,100|,0.2692307692
30|6.18.40.18.2,100|,1
26|,3|,0.1059602649
26|,14|26,1
26|,36|26,1
26|,18|26,1
26|,19|26,0.5081967213
26|,40|26,1
26|,100|,0.0684292379
30|,18|,1
30|,14|,0.0303030303
30|,18|30,1
30|,6|30,1
30|,36|30,1
30|,2|30,0.487704918
30|,100|,0.2798573975
20|36,29|20.36,1
18|36.18.30,100|,1
18|9.18,40|18.9.18,1
23|,32|23,0.5217391304
23|,33|23,1
23|,36|23,1
23|,32|,0.0680628272
23|,40|23,1
23|,33|,1
23|,18|23,1
23|,100|,0.0581818182
18|40.18.7,26|18,0.2790697674
18|40.18.7,34|18.40,0.375
18|40.18.7,100|,0.625
7|34,18|7,0.0322580645
7|34,36|7,0.0879765396
7|34,10|7,0.8269794721
7|34,100|,0.0527859238
37|,27|,0.1315789474
37|,12|,0.1898734177
37|,29|,0.0612244898
37|,31|,0.3095238095
37|,6|,0.2307692308
37|,10|,0.2
37|,28|37,1
37|,1|,0.0816326531
37|,13|,0.1279069767
37|,22|,0.0510204082
37|,14|,0.1447368421
37|,9|,0.164556962
37|,20|37,1
37|,21|,0.1392405063
37|,18|37,1
37|,15|,0.2545454545
37|,11|,0.0867346939
18|28.18,12|18,1
18|28.18,12|,1
8|22,18|8,1
23|33,32|23,1
40|18.25,18|40.18.25,1
40|18.22,18|40.18.22,0.3076923077
1|,27|,0.0943396226
1|,22|,0.1037735849
1|,8|,0.0557275542
1|,14|1,0.5111111111
1|,22|1,1
1|,18|1,0.5058823529
1|,13|,0.1509433962
1|,100|,0.143442623
1|,39|1,1
1|,14|,0.1411764706
1|,40|1,1
1|,37|1,1
1|,27|1,1
1|,0|,0.0935251799
1|,12|1,1
1|,15|,0.1320754717
1|,36|1,1
1|18,18|1,1
1|18,27|1,0.3913043478
1|18,18|1.18,1
15|14,13|15,0.8245614035
15|14,100|,0.1754385965
18|40.18.9.12,21|18,0.375
18|40.18.9.12,100|,0.625
18|10,40|18.10,1
18|10,14|18,0.099009901
18|10,36|18,0.1188118812
18|10,100|,0.2079207921
18|40.18.6,100|,1
15|13.18,36|15.13.18,1
15|13.18,100|,0.4387464387
15|13.18,18|15,0.150997151
15|13.18,14|15,0.3532763533
15|13,14|15,0.119266055
15|13,18|15,0.880733945
15|13,36|15,0.0673913043
15|13,100|,0.4804347826
21|36,18|21,1
21|36,100|,1
36|11,11|,1
6|18,30|6.18,1
14|18.22,18|14.18,1
36|21,21|36,1
1|14,18|1,0.5
1|14,27|1.14,1
40|18.14.27,18|40.18.14.27,1
38|9,9|38,1
38|,9|38,1
38|,21|,0.2820512821
38|,10|,0.4230769231
38|,18|38,1
18|40.18.9.28,100|,1
36|2,2|,1
15|18,13|15,0.5079365079
15|18,18|15,1
15|18,100|,0.1641791045
40|,8|40,1
40|,5|,0.0197628458
40|,24|,0.0069808028
40|,6|40,1
40|,25|,0.0197628458
40|,32|,0.0069808028
40|,1|,0.0055005501
40|,7|,0.0109561753
40|,23|40,1
40|,14|,0.0113989637
40|,18|40,0.9604743083
40|,9|,0.0149082569
40|,11|,0.0066006601
40|,34|,0.0189243028
40|,4|,0.0146520147
40|,21|,0.0225479143
40|,28|,0.0229357798
40|,12|,0.0126146789
40|,26|,0.0111358575
40|,33|40,1
32|14,23|32.14,1
32|14,33|32,0.2407407407
18|5.18,40|18.5,1
1|0,27|1.0,1
18|40.18.31,4|18,0.3777777778
18|40.18.31,100|,0.6222222222
36|15,15|,1
17|36,31|17.36,1
17|36,100|,0.2115384615
17|36,31|,1
36|13,13|,1
10|18,18|10,1
9|12.18,36|9,1
22|8,14|22,0.3031674208
22|8,36|22,0.0950226244
22|8,18|22.8,0.1588785047
28|37,9|28,1
18|27,40|18.27,1
18|27,36|18,0.1157894737
18|27,40|,1
18|27,14|18,0.1157894737
40|18.8,18|40.18.8,0.0611353712
9|28,18|9.28,1
9|28,12|9,0.2682926829
9|28,36|9,0.1951219512
14|33,18|14,0.3666666667
14|33,100|,0.6333333333
36|29,29|36,1
18|37,14|18,0.4615384615
18|37,24|18,1
18|37,24|,1
18|37,26|18,0.4761904762
18|37,0|,0.4782608696
18|37,11|,0.4385964912
18|37,100|,1
39|4,4|,1
18|40.18.15,100|,1
18|40.18.26,19|18,1
12|9,18|12,1
12|9,100|,1
12|28.14,36|12,0.2244897959
12|28.14,9|12.28.14,1
33|32,100|,1
33|32,18|33,1
9|12,14|9,0.1735015773
9|12,100|,0.4447949527
9|12,38|9,0.0315457413
9|12,36|9,0.1230283912
9|12,18|9.12,0.1608832808
9|12,37|9,0.0315457413
9|12,28|9,0.0347003155
18|40.18.25,5|18,0.4827586207
18|40.18.25,100|,0.5172413793
18|14.31,40|18.14.31,1
18|6,40|18.6,1
14|29,18|14,0.26
14|29,100|,0.74
18|23,40|,1
40|8,8|40,1
32|18.40,18|32,1
2|14,18|2.14,1
2|14,30|2,0.1041666667
2|14,6|2,0.4791666667
2|14,100|,0.125
31|36,18|31.36,1
31|36,100|,1
31|18.40,4|31,0.3548387097
31|18.40,17|31,0.3225806452
31|18.40,100|,0.3225806452
27|1.14,100|,1
17|14.18,4|17,1
8|,12|,0.0909090909
8|,18|,1
8|,40|8,1
8|,18|8,0.0723684211
8|,36|8,1
8|,39|8,1
8|,14|8,0.380952381
8|,22|8,0.0950226244
8|,1|,0.1212121212
17|,18|,0.6153846154
17|,14|,0.0221238938
17|,4|17,1
17|,36|17,1
17|,31|,1
17|,4|,0.3846153846
17|,18|17,1
17|,100|,0.1194690265
28|12,9|28,1
28|12,9|28.12,1
28|12,36|28,0.2537313433
18|12.18,40|18.12.18,1
40|34,34|,1
15|,37|15,1
15|,18|15,0.6
15|,14|15,0.0675675676
15|,13|15,0.4
15|,36|15,1
15|,100|,0.045045045
32|18,18|32,0.0769230769
32|18,33|32,0.0923076923
32|18,23|32,0.8307692308
25|,39|25,1
25|,14|,0.081530782
25|,18|25,0.1247920133
25|,40|25,1
25|,36|25,1
25|,5|25,0.5490848586
25|,28|,0.2083333333
25|,100|,0.1680532446
40|18.15,18|40.18.15,1
18|40.18.34,7|18,1
39|13,13|,1
31|18,4|31,0.243902439
31|18,4|,0.243902439
31|18,18|31,0.756097561
40|18.29,18|40.18.29,1
21|20.18,29|21.20,1
40|26,26|,1
20|14,29|20.14,0.8305084746
20|14,18|20,0.1041666667
20|14,21|20,0.1770833333
9|28.14,12|9,1
6|40,30|,1
18|0.18.40.18.14,1|18.0,1
40|33,33|40,1
18|12,36|18,0.2166666667
18|12,40|18.12,1
18|12,39|18,0.0956521739
22|36,18|22,1
6|,18|,1
6|,30|,0.6783004552
6|,40|6,1
6|,2|6,1
6|,18|6,1
6|,36|6,1
6|,39|6,1
6|,37|6,1
6|,14|6,1
6|,100|,0.0682852807
18|40.18.2.30,4|18,1
18|40.18.2.30,100|,1
