sequence,struc2vec128D,struc2vec2D,node2vec128D,node2vec2D
14|29,1,0,7,9
18|31,1,0,7,9
36|28,0,1,4,10
21|11,2,1,9,4
14|15,1,0,10,2
9|36,1,0,7,6
40|18.2,0,2,9,4
21|20,1,0,1,3
36|27,0,1,11,8
36|33,0,2,7,1
25|14,1,0,4,10
38|,0,1,7,6
20|36,2,2,12,11
25|18.14,2,2,4,0
5|36,1,0,11,8
18|14.22,0,2,4,3
18|40.18.24,1,0,7,9
33|40,2,1,3,3
30|6.18,0,1,4,10
6|36,2,2,3,12
29|21,1,0,0,7
40|18.21,0,2,9,4
29|21.18,0,2,8,0
40|8,0,2,10,2
36|8,0,2,7,9
33|36,1,0,4,13
18|6,0,1,7,1
40|18.2.18,0,2,4,10
18|4,0,1,0,13
18|40.18.9.18,0,2,11,8
12|36,1,0,5,4
36|7,0,1,4,10
14|18.36,0,2,11,8
40|18.6,0,2,2,13
1|27,1,0,3,12
14|21,0,1,1,3
40|18.7,0,2,7,9
22|14,2,1,11,8
18|29,1,0,1,3
18|26,2,1,10,2
21|29,1,0,0,13
7|34.18,0,1,10,2
37|31,0,1,7,9
18|19,1,0,9,4
36|5,0,1,11,8
40|18.0,0,2,12,11
38|10,0,1,1,3
25|0,0,1,7,9
19|18,2,1,4,0
18|40.18.17,1,0,10,2
18|2,1,0,7,1
36|30,0,1,7,1
34|7,0,1,10,2
1|36,2,2,7,6
31|36,1,0,7,1
17|36,1,0,9,10
29|18,2,1,11,8
20|29,1,0,7,1
32|23,1,0,3,3
0|27,0,1,3,12
38|18,2,1,6,7
22|36,0,2,8,0
18|40.18.2,1,0,7,6
40|18.3,0,2,6,7
18|12.18,0,1,3,3
4|17,1,0,0,2
27|18,2,1,7,6
37|14,0,1,7,1
37|15,0,1,7,1
5|,3,3,13,0
27|0,0,1,0,8
30|,3,3,4,10
19|3,0,1,7,1
23|33,0,1,4,10
37|28,0,1,7,6
2|14,1,0,11,2
14|2.18,2,1,0,2
40|14,0,1,4,0
6|30,1,0,11,8
36|14,0,1,7,1
27|18.0,0,2,1,5
5|18,3,3,7,6
25|18,3,3,4,13
3|36,1,0,4,5
14|31,1,0,7,1
1|22,2,1,9,4
37|18,2,1,1,5
14|2,1,0,12,11
18|30,1,0,4,7
1|18.0,0,2,4,13
18|28.18,0,1,4,13
26|3,0,1,7,1
40|18.11,0,2,11,12
15|13.14,1,0,7,1
4|,3,3,9,4
12|14.18,2,1,7,1
10|,3,3,7,6
12|18.40,2,2,7,6
17|31,1,0,11,8
18|15,1,0,0,13
18|10,1,0,4,5
7|14,1,0,0,3
14|26,0,1,1,3
19|,1,0,12,4
10|34.18,0,1,12,11
19|36,2,2,11,8
12|9,1,0,6,7
14|9,1,0,4,13
39|22,0,1,10,2
8|36,0,2,11,12
37|22,0,1,0,8
21|36,1,0,7,6
21|20.18,0,2,6,7
15|14,1,0,1,5
29|20.18,1,3,7,1
14|10,1,0,4,4
15|,3,3,11,8
36|15,0,1,7,6
27|,3,3,3,12
25|5,1,0,4,8
40|18.14.18.40,0,2,7,9
32|18.40,2,2,4,10
37|20,0,1,11,8
8|18.14,2,2,2,13
8|14,2,1,7,9
18|5.25,0,2,4,13
18|34,2,1,7,9
18|5.18,0,2,11,8
14|27,1,0,2,13
20|29.18,0,2,13,0
15|13.18,1,0,4,10
18|38,1,0,1,5
18|40.18.9,1,0,4,7
14|18.40.18.9,0,2,7,1
36|18.30,0,2,7,6
4|31,0,1,4,10
37|9,0,1,4,13
22|8,0,2,3,12
40|18.24,0,2,4,4
14|28,0,1,12,11
20|21,0,1,1,5
28|,3,3,3,3
18|9,1,0,1,3
12|28,2,1,4,10
29|20,1,0,4,10
39|18.14,2,2,9,4
13|15,1,0,4,10
18|3,1,0,11,8
22|1,2,1,10,5
36|3,0,1,7,6
33|23,0,1,6,7
14|5.25,1,3,7,10
20|29.14,0,2,4,10
36|23,0,1,5,4
30|6.18.40,0,2,7,1
18|40.18.21,2,1,4,3
14|25.18,0,1,7,6
7|10,1,0,4,7
13|,3,3,4,5
37|29,0,1,4,5
36|17,0,1,11,12
5|14.18,2,1,4,7
30|2,1,0,11,2
31|,3,3,12,0
40|33,0,1,2,13
17|18,2,1,4,7
12|18,3,3,11,8
13|18,3,3,0,8
39|18,2,1,4,10
14|18.40.18.14,0,2,5,4
20|18,3,3,11,12
2|18,3,3,4,10
12|1,2,1,4,13
36|21,0,1,4,5
7|18,3,3,4,10
18|22.18,0,2,4,7
36|20,0,1,3,3
19|26,0,1,11,8
18|33,1,0,0,13
18|7,0,1,4,4
38|9,0,1,0,7
36|12,0,1,4,10
40|18.8,0,2,3,3
23|32,0,1,4,4
34|,3,3,11,8
14|33,1,0,4,10
21|18.36,0,2,7,9
10|7,1,0,10,2
5|25,1,0,4,5
2|30,1,0,1,2
32|,3,3,9,4
14|18.40.18.14.18,0,2,12,11
21|,3,3,4,10
29|,3,3,10,5
14|7,1,0,4,7
18|5,1,0,4,2
36|25,0,1,4,3
20|,3,3,7,6
40|23,0,1,9,4
33|,1,0,9,4
7|34,1,0,4,3
3|,3,3,11,8
18|20,2,1,4,10
2|,1,0,0,7
34|18,2,1,7,6
36|29,0,1,4,10
26|19,1,0,0,2
27|18.40.18.8,0,2,3,3
33|32,1,0,13,0
18|0,1,0,4,10
1|,3,3,10,2
36|1,0,1,6,7
6|2,0,1,7,6
36|15.13.18,0,2,3,5
28|36,0,2,1,5
18|17,2,1,3,3
18|40.18.34,0,2,11,8
12|,3,3,8,0
9|,3,3,4,5
36|2,0,2,4,10
13|14,2,1,7,6
28|12,2,1,4,10
9|28,0,1,7,1
23|,3,3,0,7
10|34.18.40,0,2,12,4
18|9.18,0,2,11,8
36|18.11,0,2,11,8
18|21,1,0,10,5
6|,3,3,11,2
7|,3,3,1,7
14|13,0,1,11,8
3|18,3,3,8,0
25|,3,3,7,6
28|9,1,0,11,8
18|9.28,0,2,5,4
40|18.22,0,2,4,13
18|13,2,1,7,6
18|40.18.22,0,2,11,8
8|22,0,2,3,3
31|18,2,1,4,10
40|18.12,0,2,8,0
28|37,0,2,0,8
4|18,2,1,11,8
21|18,3,3,11,8
1|18.40.18.11,0,2,4,10
1|27.18.40,0,2,1,5
9|18,3,3,5,4
34|18.40,1,3,9,3
24|18,2,1,0,2
32|24,0,2,5,4
18|22,2,1,12,11
18|27,2,1,3,3
1|18.36,0,2,11,12
40|18.1,0,1,8,0
18|40.18.22.8,0,2,8,0
18|40.18.14,3,0,4,10
18|25,0,1,6,7
20|37,0,2,5,4
18|1,3,3,4,0
36|9,0,1,11,13
17|4,0,1,3,3
31|18.40,1,0,9,4
40|18.14.18,0,2,4,0
28|18,3,3,3,12
8|40,0,2,4,10
14|8,2,1,8,0
23|40,0,2,10,5
40|18.5,0,2,4,10
14|18.22,0,2,6,7
22|18,2,1,11,8
9|12.28,0,2,13,0
18|14,3,0,0,7
18|11,3,0,5,4
8|18,2,1,11,8
27|18.40,1,3,4,10
34|14,2,1,11,8
18|8,2,1,1,7
15|18,1,3,0,8
18|40.18.29,1,0,2,13
18|22.8,0,2,6,7
17|,3,3,5,4
18|40.18.8,1,0,6,7
22|8.14,0,2,4,10
26|18,2,1,10,2
18|40.18.11,3,0,7,9
1|0,0,1,12,11
26|,3,3,8,0
18|40.18.26,0,2,11,8
18|9.12,0,2,11,8
17|14,2,1,13,0
27|1,3,0,11,8
11|,3,3,9,4
0|18.40.18.14,0,2,3,3
8|,2,1,4,7
40|18.4,0,2,4,10
12|28.14,0,1,4,10
0|18.40,2,2,3,3
18|40.18.14.18,1,0,9,3
18|12,2,1,6,7
9|12,1,0,0,8
18|39,3,0,3,3
39|8,0,2,0,13
18|14.18.40,0,2,2,13
18|1.18,0,2,7,10
18|24,0,1,10,5
18|40,3,0,7,9
18|37,3,0,12,11
40|24,0,2,9,4
14|18.8,0,2,11,8
21|18.40,1,0,11,8
1|18,2,1,0,13
18|36,3,0,11,8
18|0.18.40.18.14,0,2,12,11
8|18.22,0,2,13,0
40|18.22.8,0,2,0,13
18|2.18,0,2,4,10
14|18,3,0,7,6
37|,2,1,10,2
40|18.9.18,0,2,11,8
36|,2,1,2,13
0|,3,3,4,4
18|,3,0,4,7
40|,3,1,11,8
14|,3,0,7,1
24|,2,1,0,8
14|18.40,3,0,9,4
36|18,2,1,4,10
0|18.36,1,0,11,8
14|1,1,0,3,12
18|14.18,2,1,12,11
22|,2,0,11,8
39|,2,0,7,9
100|,3,0,4,4
