source,target,value
27|29,13|27,0.4666666666666667
27|29,19|27,0.5333333333333333
39|13,13|39,1.0
40|13.25.15,13|40.13.25.15,1.0
36|32,32|36,1.0
8|13.40,13|8,0.3225806451612903
8|13.40,33|8,0.3548387096774194
8|13.40,3|8,0.3225806451612903
1|25,13|1,1.0
1|25,100|,1.0
20|5,18|20,1.0
18|20,13|18,1.0
13|40.13.34,2|13.40,0.5555555555555556
13|40.13.34,100|,0.4444444444444444
12|6.28.33,100|,1.0
36|8,8|,1.0
29|,33|29,1.0
29|,36|29,1.0
29|,100|,0.08259587020648967
29|,40|29,1.0
29|,19|29,0.3333333333333333
29|,39|29,1.0
29|,13|29,0.45454545454545453
29|,27|29,0.21212121212121213
13|37,11|,0.4827586206896552
13|37,100|,0.5172413793103449
13|37,16|,1.0
13|37,33|13,0.47058823529411764
13|37,7|13,1.0
13|39,1|13,0.08045977011494253
13|39,17|,0.5882352941176471
13|39,21|13,0.12643678160919541
13|39,16|,1.0
13|39,28|13,0.3333333333333333
13|39,15|13,0.09195402298850575
13|39,33|13,0.5
13|39,11|,0.5
13|39,100|,0.4117647058823529
6|13,100|,0.5
6|13,28|6,0.5
13|0,40|,1.0
13|40.13.25,100|,1.0
3|13,13|3,0.6341463414634146
3|13,8|3,0.36585365853658536
39|24,24|,1.0
28|13.40,6|28.13,1.0
1|36,25|,1.0
4|36,13|4,1.0
13|12.33,40|,1.0
13|40.13.16,16|13.40,1.0
13|40.13.16,100|,0.47368421052631576
13|40.13.16,33|13.40,0.5263157894736842
40|15,15|,1.0
40|13.1,13|40.13.1,1.0
33|26,100|,0.5789473684210527
33|26,13|33,0.42105263157894735
36|29,29|,1.0
13|40.13.14,11|,1.0
13|40.13.14,100|,1.0
36|1,1|36,1.0
13|40.13.5,100|,1.0
2|34.13,13|2,1.0
3|13.17,8|3,1.0
33|7,9|,1.0
36|23,23|,1.0
33|,29|33,0.13793103448275862
33|,0|,0.07377049180327869
33|,21|33,1.0
33|,32|33,0.02464788732394366
33|,100|,0.0639269406392694
33|,17|,0.091324200913242
33|,16|,0.04081632653061224
33|,37|33,1.0
33|,13|33,0.5981735159817352
33|,26|,0.07377049180327869
33|,4|33,0.0639269406392694
33|,14|33,1.0
33|,28|33,0.8372093023255814
33|,10|33,0.17391304347826086
33|,34|,0.15354330708661418
33|,25|,0.025
33|,8|,0.0365296803652968
33|,30|,0.0635593220338983
33|,15|33,0.7317073170731707
33|,9|,0.09745762711864407
33|,12|33,0.30985915492957744
33|,23|33,1.0
33|,3|33,1.0
33|,24|33,1.0
33|,1|33,0.3902439024390244
33|,11|,0.036290322580645164
33|,6|33,1.0
33|,2|33,0.0365296803652968
33|,19|,0.08571428571428572
33|,36|33,0.04678362573099415
33|,31|33,0.1095890410958904
33|,7|33,1.0
19|13,27|,0.38461538461538464
19|13,13|19,1.0
3|36,13|3,1.0
13|40.13.32,28|13.40,0.38461538461538464
13|40.13.32,100|,0.6153846153846154
12|,33|12,0.3392857142857143
12|,28|12,0.803921568627451
12|,100|,0.2680722891566265
12|,6|12,1.0
12|,13|12,1.0
14|10.13,100|,1.0
33|31,13|33,1.0
37|,13|37,1.0
37|,3|,0.11224489795918367
37|,1|,0.07142857142857142
37|,21|,0.19444444444444445
37|,24|,0.1320754716981132
37|,11|,0.08163265306122448
37|,32|,0.25
37|,33|,0.2
37|,10|,0.09183673469387756
37|,15|37,0.08163265306122448
37|,25|,0.17857142857142858
40|13.3,13|40.13.3,1.0
8|,100|,0.15625
8|,17|,0.04743083003952569
8|,33|8,0.203125
8|,36|8,1.0
8|,13|8,0.5
8|,3|8,0.140625
38|25,25|,1.0
2|13,34|2,1.0
2|13,13|2,1.0
39|19,19|,1.0
21|,40|21,1.0
21|,14|21,0.41379310344827586
21|,10|21,0.27586206896551724
21|,33|,0.02894736842105263
21|,39|21,1.0
21|,13|21,0.3103448275862069
21|,37|21,1.0
21|,36|21,0.0967741935483871
21|,100|,0.10752688172043011
21|,38|21,1.0
37|32,32|,1.0
36|21,21|36,1.0
15|13,33|15,0.06097560975609756
15|13,1|15,1.0
15|13,25|15.13,1.0
15|13,13|15,1.0
28|12,6|28.12,0.6470588235294118
28|12,36|28,0.19607843137254902
4|33,31|4,0.48
4|33,13|4,1.0
13|40.13.16.13.40,100|,1.0
10|,13|10,0.7435897435897436
10|,14|10,0.2564102564102564
10|,100|,0.04
10|,33|,0.03170028818443804
10|,21|10,0.09
10|,36|10,0.11
10|,37|10,1.0
26|13,0|26,0.5
26|13,13|26,0.5
36|30,30|36,1.0
40|13.8,13|40.13.8,1.0
14|10.36,100|,1.0
13|40.13.12.13,28|13.40,1.0
13|12.6,40|13.12.6,1.0
13|12.6,100|,0.45
13|,0|,0.026888604353393086
13|,3|13,0.6341463414634146
13|,27|13,0.007362784471218206
13|,6|13,0.006554307116104869
13|,16|,0.05622489959839357
13|,34|13,0.021106259097525473
13|,33|13,0.11280931586608442
13|,5|13,0.018072289156626505
13|,9|13,0.019206145966709345
13|,18|13,1.0
13|,1|13,0.01740294511378849
13|,8|13,0.3888888888888889
13|,21|13,0.012717536813922356
13|,11|,0.006550218340611353
13|,25|13,0.003485535029627048
13|,32|13,0.020080321285140562
13|,19|13,0.013386880856760375
13|,12|13,0.012717536813922356
13|,37|13,0.016739446870451237
13|,30|13,0.00535475234270415
13|,23|13,0.00535475234270415
13|,40|,0.25181950509461426
13|,36|13,0.025473071324599708
13|,2|13,0.026200873362445413
13|,14|13,0.01533635413035901
13|,17|,0.18777292576419213
