33|36,0
17|36,1
30|,3
5|23,2
19|6,5
10|25,118
36|20,6
17|32,7
2|,9
20|6,10
12|31,11
36|30,14
29|25,13
6|12,30
11|9,15
6|20,17
30|25,18
16|37,21
36|29,22
15|36,24
21|36,121
9|,25
32|17,26
2|26,27
27|36,28
19|20,29
36|34,32
18|,31
32|25,34
7|36,19
9|8,35
19|9,122
36|2,36
4|12,37
30|12,38
9|36,202
12|2,39
25|,40
10|36,195
12|27,192
16|12,194
12|18,41
25|29,42
32|36,43
11|36,45
26|33,46
12|1,48
25|8,51
21|12,50
19|25,53
28|34,8
7|,55
36|6,77
12|5,56
36|25,57
27|12,58
26|25,59
12|32,60
12|,61
12|21,62
23|8,63
22|34,64
23|5,44
12|19,67
4|,69
24|36,70
17|25,71
29|,72
25|11,73
20|,81
34|28,74
36|22,75
20|36,76
37|,12
10|,78
6|,47
12|34,79
15|21,80
25|4,82
15|0,83
29|1,84
12|10,85
12|16,86
36|26,87
23|36,88
22|36,90
24|27,96
24|3,91
36|17,92
22|25,98
6|19,95
34|,49
4|36,97
26|36,99
7|31,100
36|19,101
12|33,102
3|,103
32|,104
5|16,105
6|36,107
33|25,108
13|,109
28|,111
12|0,135
25|16,114
36|9,16
3|24,115
26|12,116
12|13,117
24|12,89
25|2,119
11|13,120
25|24,54
8|25,123
31|7,124
36|18,125
15|,20
1|36,126
12|8,4
23|,127
12|29,128
22|28,94
12|9,129
31|,130
30|4,132
2|33,52
36|,23
12|17,133
36|1,134
12|3,131
16|,136
36|0,137
0|21,138
16|23,140
23|25,141
12|11,142
11|18,143
29|31,144
25|27,145
25|13,146
12|6,150
34|25,151
0|36,173
25|3,153
6|25,154
12|7,155
10|30,156
27|3,157
28|25,158
36|15,159
27|,160
18|11,177
11|25,161
25|21,162
10|4,211
25|34,163
25|1,164
0|12,165
36|7,33
25|10,167
8|,168
16|25,169
19|36,170
18|36,171
2|36,172
5|,147
13|11,174
18|25,148
12|4,175
0|,176
12|15,178
19|,179
25|7,180
18|31,181
20|19,149
25|30,184
33|12,106
17|12,185
25|6,186
1|25,188
2|25,182
13|36,189
24|,65
36|32,190
25|18,191
25|36,183
22|,193
3|36,196
26|,197
12|25,198
36|24,66
33|,110
34|22,187
18|7,199
12|22,200
28|12,201
17|,93
36|10,203
0|15,204
36|3,205
20|25,206
12|28,207
12|30,208
36|8,209
25|17,210
21|,112
11|,68
24|25,212
16|36,213
33|2,166
25|33,113
12|26,139
7|18,214
31|25,215
12|20,216
15|25,217
29|36,218
3|25,219
1|,152
