sequence,Gephi,KMeans_15D,KMeans_2D
12|37.28,1,3,1
4|12,1,0,2
12|37.4,1,3,1
7|31,1,2,3
5|12,1,0,2
12|37.7,1,3,1
36|4,1,2,3
20|12,1,0,2
34|,1,0,2
37|17,1,2,3
25|3,1,2,3
37|0,1,2,3
25|34,1,3,1
2|36,1,0,3
25|10,1,2,0
21|12,1,0,2
12|37.32,1,3,1
25|1,1,3,1
20|6.19,1,2,2
11|,1,2,3
12|37.30,1,3,1
10|4,1,2,0
17|12,1,0,2
12|20,1,3,1
12|17,1,3,1
12|37.16,1,3,1
12|36.25,1,3,1
30|,1,0,2
36|32,1,0,2
36|0,1,2,3
25|29,1,2,0
25|1.12,1,2,0
12|37.34,1,3,1
31|7,1,2,3
12|37.6,1,3,1
26|2.33,1,2,0
26|2,1,0,2
12|37.29,1,3,1
36|28,1,2,3
30|10.25,1,2,3
24|,1,0,2
12|21,1,3,1
12|36.9,1,3,1
15|36.0,1,2,0
13|,1,1,2
1|12.37,1,0,2
25|36,1,3,1
25|21,1,3,1
12|37.5,1,3,1
36|33,1,2,2
6|20.36,1,2,0
25|4,1,3,1
12|37.18,1,3,1
36|19,1,2,3
36|21,1,2,3
29|12.31,1,2,3
11|18,1,2,3
27|12,1,0,2
24|12,1,0,2
15|12,1,0,2
22|,1,1,2
23|5.12,1,2,0
19|20.12,1,2,0
37|5,1,2,3
12|37.23,1,3,1
8|,1,1,2
6|20.12,1,2,0
0|25.12,1,0,2
3|,1,1,2
18|,1,1,2
36|3,1,0,2
37|23,1,2,3
5|12.37,1,0,2
0|12,1,0,2
34|12,1,0,2
36|,1,1,2
2|,1,3,1
36|31,1,2,3
19|20.6,1,2,0
1|,1,2,3
36|12,1,1,2
25|18,1,3,1
12|6,1,3,1
0|25,1,0,2
20|36.19,1,2,0
0|36.15,1,2,0
21|15.0,1,2,3
6|12,1,0,2
30|12,1,0,2
12|36.8,1,3,1
37|8,1,2,3
12|37.1,1,3,1
36|15,1,0,2
23|,1,1,2
36|10,1,2,0
32|,1,1,2
28|,1,0,2
29|31,1,2,3
12|37.9,1,3,1
11|12,1,0,2
2|12,1,1,2
6|19.20,1,2,0
12|37.31,1,3,1
37|31,1,2,3
19|12,1,1,2
6|19.12,1,2,3
4|,1,0,2
25|12.36,1,3,1
26|,1,0,2
37|9,1,2,3
36|9,1,0,3
20|,1,3,1
15|0,1,2,0
12|36,1,1,2
22|34,1,2,0
12|37.8,1,3,1
12|8,1,3,1
18|36.12,1,0,3
7|18.31,1,2,2
19|,1,3,1
12|0,1,3,1
21|,1,0,2
7|,1,1,2
12|9,1,3,1
12|15.12,1,2,0
26|12.37,1,0,2
18|31,1,2,3
25|12,1,1,2
31|,1,1,2
12|37,1,1,2
34|25,1,0,2
29|,1,0,2
12|13,1,3,1
25|8,1,3,1
15|,1,3,1
12|25,1,1,2
25|,1,1,2
25|7,1,3,1
10|,1,1,2
9|,1,1,2
13|36,1,0,2
12|31,1,3,1
20|6.25,1,2,0
36|25,1,0,2
5|,1,3,1
20|12.19,1,2,2
12|,1,1,2
0|,1,0,2
37|,1,1,2
